dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DHG,BLR-maxIter-5,0,0,65451572,5504140,0,0,train
DHG,BLR-tol-0.01,0,0,65451544,3217448,2,41,test
DHG,BLR-tol-0.01,0,0,65451544,3215516,2,40,test
DHG,BLR-tol-0.01,0,0,65451544,3186488,2,39,test
DHG,BLR-tol-0.01,0,0,65451544,3186556,2,38,train
DHG,BLR-tol-0.01,0,0,65451544,3185684,2,37,train
DHG,BLR-tol-0.01,0,0,65451544,3177536,2,36,train
DHG,BLR-tol-0.01,0,0,65451544,3177496,2,35,train
DHG,BLR-tol-0.01,0,0,65451544,3178808,2,34,train
DHG,BLR-tol-0.01,0,0,65451544,3179876,2,33,train
DHG,BLR-tol-0.01,0,0,65451544,3180168,2,32,train
DHG,BLR-tol-0.01,0,0,65451544,3180364,2,31,train
DHG,BLR-tol-0.01,0,0,65451544,3180980,2,30,train
DHG,BLR-tol-0.01,0,0,65451544,3179900,2,29,train
DHG,BLR-tol-0.01,0,0,65451544,3179676,2,28,train
DHG,BLR-tol-0.01,0,0,65451544,3224688,2,42,test
DHG,BLR-tol-0.01,0,0,65451544,3180092,2,27,train
DHG,BLR-tol-0.01,0,0,65451544,3180592,2,25,train
DHG,BLR-tol-0.01,0,0,65451544,3180148,2,24,train
DHG,BLR-tol-0.01,0,0,65451544,3180076,2,23,train
DHG,BLR-tol-0.01,0,0,65451544,3181272,2,22,train
DHG,BLR-tol-0.01,0,0,65451544,3181016,2,21,train
DHG,BLR-tol-0.01,0,0,65451544,3181572,2,20,train
DHG,BLR-tol-0.01,0,0,65451544,3182304,2,19,train
DHG,BLR-tol-0.01,0,0,65451544,3181576,2,18,train
DHG,BLR-tol-0.01,0,0,65451544,3181840,2,17,train
DHG,BLR-tol-0.01,0,0,65451544,3182336,2,16,train
DHG,BLR-tol-0.01,0,0,65451544,3182704,2,15,train
DHG,BLR-tol-0.01,0,0,65451544,3183636,2,14,train
DHG,BLR-tol-0.01,0,0,65451544,3184000,2,13,train
DHG,BLR-tol-0.01,0,0,65451544,3188308,2,12,train
DHG,BLR-tol-0.01,0,0,65451544,3180192,2,26,train
DHG,BLR-tol-0.01,0,0,65451544,3177896,2,11,train
DHG,BLR-tol-0.01,0,0,65451544,3225132,2,43,test
DHG,BLR-tol-0.01,0,0,65451544,3249296,2,45,test
DHG,BLR-tol-0.01,0,1,65451544,4580736,2,5,train
DHG,BLR-tol-0.01,0,1,65451544,4819816,2,4,train
DHG,BLR-tol-0.01,0,1,65451544,4819476,2,3,train
DHG,BLR-tol-0.01,0,1,65451544,4924988,2,2,train
DHG,BLR-tol-0.01,0,1,65451544,5196124,2,1,train
DHG,BLR-tol-0.01,0,1,65451544,5195316,2,0,train
DHG,BLR-tol-0.01,0,0,65451544,3096764,2,69,test
DHG,BLR-tol-0.01,0,0,65451544,3093204,2,68,test
DHG,BLR-tol-0.01,0,0,65451544,3215072,2,67,test
DHG,BLR-tol-0.01,0,0,65451544,3213184,2,66,test
DHG,BLR-tol-0.01,0,0,65451544,3223080,2,65,test
DHG,BLR-tol-0.01,0,0,65451544,3220192,2,64,test
DHG,BLR-tol-0.01,0,0,65451544,3222284,2,63,test
