dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DHG,BLR-maxIter-5,0,0,0,0,0,0,train
DHG,BLR-tol-0.01,0,0,39743072,228467,2,41,test
DHG,BLR-tol-0.01,0,0,39831075,226283,2,40,test
DHG,BLR-tol-0.01,0,0,39616346,226671,2,39,test
DHG,BLR-tol-0.01,0,0,39847492,239231,2,38,train
DHG,BLR-tol-0.01,0,0,39847094,240388,2,37,train
DHG,BLR-tol-0.01,0,0,39783871,239738,2,36,train
DHG,BLR-tol-0.01,0,0,41126342,227323,2,35,train
DHG,BLR-tol-0.01,0,0,39823535,167092,2,34,train
DHG,BLR-tol-0.01,0,0,39973408,150246,2,33,train
DHG,BLR-tol-0.01,0,0,39276229,218011,2,32,train
DHG,BLR-tol-0.01,0,0,39873837,177767,2,31,train
DHG,BLR-tol-0.01,0,0,39792979,208486,2,30,train
DHG,BLR-tol-0.01,0,0,39915712,211475,2,29,train
DHG,BLR-tol-0.01,0,0,39808835,209799,2,28,train
DHG,BLR-tol-0.01,0,0,39634508,216610,2,42,test
DHG,BLR-tol-0.01,0,0,39825863,227635,2,27,train
DHG,BLR-tol-0.01,0,0,39757436,235695,2,25,train
DHG,BLR-tol-0.01,0,0,40080401,236811,2,24,train
DHG,BLR-tol-0.01,0,0,39762488,243339,2,23,train
DHG,BLR-tol-0.01,0,0,41032965,250567,2,22,train
DHG,BLR-tol-0.01,0,0,39776580,245978,2,21,train
DHG,BLR-tol-0.01,0,0,39738820,249631,2,20,train
DHG,BLR-tol-0.01,0,0,39759734,233392,2,19,train
DHG,BLR-tol-0.01,0,0,39301461,236421,2,18,train
DHG,BLR-tol-0.01,0,0,39685431,211892,2,17,train
DHG,BLR-tol-0.01,0,0,39774533,184579,2,16,train
DHG,BLR-tol-0.01,0,0,39675346,193354,2,15,train
DHG,BLR-tol-0.01,0,0,39725471,195395,2,14,train
DHG,BLR-tol-0.01,0,0,39692148,191495,2,13,train
DHG,BLR-tol-0.01,0,0,39744369,184046,2,12,train
DHG,BLR-tol-0.01,0,0,39667237,250743,2,26,train
DHG,BLR-tol-0.01,0,0,39697134,194459,2,11,train
DHG,BLR-tol-0.01,0,0,39730787,234447,2,43,test
DHG,BLR-tol-0.01,0,0,39510130,260120,2,45,test
DHG,BLR-tol-0.01,0,1,16511451,116704,2,5,train
DHG,BLR-tol-0.01,0,1,95,291,2,4,train
DHG,BLR-tol-0.01,0,1,3203,8130,2,3,train
DHG,BLR-tol-0.01,0,1,4962,3676,2,2,train
DHG,BLR-tol-0.01,0,1,95,291,2,1,train
DHG,BLR-tol-0.01,0,1,0,0,2,0,train
DHG,BLR-tol-0.01,0,0,39958632,125014,2,69,test
DHG,BLR-tol-0.01,0,0,39449203,138076,2,68,test
DHG,BLR-tol-0.01,0,0,40034769,153856,2,67,test
DHG,BLR-tol-0.01,0,0,40039956,159554,2,66,test
DHG,BLR-tol-0.01,0,0,40046929,158267,2,65,test
DHG,BLR-tol-0.01,0,0,39960804,194548,2,64,test
DHG,BLR-tol-0.01,0,0,40228623,225334,2,63,test
DHG,BLR-tol-0.01,0,0,5412006,40008,2,62,test
DHG,BLR-tol-0.01,0,0,39767918,230339,2,44,test
DHG,BLR-tol-0.01,0,0,190,582,2,61,test
DHG,BLR-tol-0.01,0,0,27730205,180947,2,59,test
DHG,BLR-tol-0.01,0,0,39693924,236111,2,58,test
DHG,BLR-tol-0.01,0,0,39697508,248755,2,57,test
DHG,BLR-tol-0.01,0,0,39729751,234271,2,56,test
DHG,BLR-tol-0.01,0,0,39877255,229091,2,55,test
DHG,BLR-tol-0.01,0,0,39980929,232035,2,54,test
DHG,BLR-tol-0.01,0,0,39916863,234807,2,53,test
DHG,BLR-tol-0.01,0,0,39676110,240611,2,52,test
DHG,BLR-tol-0.01,0,0,39901691,191898,2,51,test
DHG,BLR-tol-0.01,0,0,39984676,122543,2,50,test
DHG,BLR-tol-0.01,0,0,40875129,140572,2,49,test
DHG,BLR-tol-0.01,0,0,40070901,122374,2,48,test
DHG,BLR-tol-0.01,0,0,40102569,180744,2,47,test
DHG,BLR-tol-0.01,0,0,39915556,241601,2,46,test
DHG,BLR-tol-0.01,0,0,235,798,2,60,test
DHG,BLR-tol-0.01,0,0,39815379,178339,2,10,train
DHG,BLR-tol-0.01,0,0,39882398,200983,2,9,train
DHG,BLR-tol-0.01,0,0,63015040,188739,2,8,train
DHG,BLR-tol-0.01,0,2,39808397,225868,1,41,test
DHG,BLR-tol-0.01,0,2,39709727,233199,1,40,test
DHG,BLR-tol-0.01,0,2,39694417,242598,1,39,test
DHG,BLR-tol-0.01,0,2,39667888,253791,1,38,train
DHG,BLR-tol-0.01,0,2,39842889,230287,1,37,train
DHG,BLR-tol-0.01,0,2,39677490,239567,1,36,train
DHG,BLR-tol-0.01,0,2,39994328,249735,1,35,train
DHG,BLR-tol-0.01,0,2,39694630,253128,1,34,train
DHG,BLR-tol-0.01,0,2,39645418,245510,1,33,train
DHG,BLR-tol-0.01,0,2,39409797,270500,1,32,train
DHG,BLR-tol-0.01,0,2,39718777,193571,1,31,train
