dataset,algorithm,platformId,runId,Energy,phase
DHG,BLR,0,2,5056.66,train
DHG,BLR,0,1,5365.825000000001,train
DHG,BLR,0,0,5365.53,train
DHG,BLR,0,0,3660.14,test
DHG,BLR,0,1,3303.624999999999,test
DHG,BLR,0,2,2905.1900000000005,test
DHG,BLR,1,2,13823.415,train
DHG,BLR,1,1,7757.949999999999,test
DHG,BLR,1,2,9846.695,test
DHG,BLR,1,0,9437.01,test
DHG,BLR,1,1,10747.26,train
DHG,BLR,1,0,11316.720000000001,train
DHG,BLR,2,1,3168.085000000001,train
DHG,BLR,2,2,3218.0600000000004,train
DHG,BLR,2,0,1993.9099999999999,test
DHG,BLR,2,0,3243.17,train
DHG,BLR,2,1,2090.1299999999997,test
DHG,BLR,2,2,2079.875,test
DHG,BLR,3,1,1993.5850000000005,test
DHG,BLR,3,0,2070.525,test
DHG,BLR,3,0,3202.065,train
DHG,BLR,3,1,3243.465,train
DHG,BLR,3,2,3255.925,train
DHG,BLR,3,2,2133.0800000000004,test
DHG,BLR,4,0,5357.49,train
DHG,BLR,4,1,5429.275000000001,train
DHG,BLR,4,2,5484.68,train
DHG,BLR,4,2,3514.6049999999996,test
DHG,BLR,4,0,3634.1049999999996,test
DHG,BLR,4,1,3595.5799999999995,test
DHG,BLR,5,0,4378.4400000000005,test
DHG,BLR,5,2,4262.005000000001,test
DHG,BLR,5,0,5311.790000000001,train
DHG,BLR,5,1,5565.795,train
DHG,BLR,5,2,5611.49,train
DHG,BLR,5,1,4350.535,test
DHG,BLR,6,2,5490.52,train
DHG,BLR,6,1,5455.595,train
DHG,BLR,6,2,3571.715,test
DHG,BLR,6,1,3849.794999999999,test
DHG,BLR,6,0,3939.5899999999992,test
DHG,BLR,6,0,3602.4,train
DHG,BLR,7,2,4299.705,train
DHG,BLR,7,1,2679.4600000000005,test
DHG,BLR,7,0,2924.3600000000006,test
DHG,BLR,7,0,4059.67,train
DHG,BLR,7,1,4198.945,train
DHG,BLR,7,2,2911.5199999999995,test
DHG,BLR,8,0,3808.16,train
DHG,BLR,8,2,4366.780000000001,train
DHG,BLR,8,0,3362.2999999999993,test
DHG,BLR,8,2,3047.2200000000003,test
DHG,BLR,8,1,3232.29,test
DHG,BLR,8,1,4061.0599999999995,train
DHG,BLR,9,0,4790.9800000000005,test
DHG,BLR,9,2,5223.369999999999,test
DHG,BLR,9,1,4775.900000000001,test
DHG,BLR,9,2,6748.07,train
DHG,BLR,9,1,6951.049999999999,train
DHG,BLR,9,0,6994.759999999999,train
DHG,BLR,10,2,4835.985000000001,test
DHG,BLR,10,1,6740.35,train
DHG,BLR,10,2,5550.35,train
DHG,BLR,10,1,4907.950000000001,test
DHG,BLR,10,0,4328.259999999999,test
DHG,BLR,10,0,5679.77,train
DHG,BLR,11,2,3653.5999999999995,test
DHG,BLR,11,1,3637.7699999999995,test
DHG,BLR,11,0,3351.1500000000005,test
DHG,BLR,11,0,5334.24,train
DHG,BLR,11,2,4960.960000000001,train
DHG,BLR,11,1,5585.380000000001,train
DHG,BLR,12,0,3328.965,test
DHG,BLR,12,0,4492.31,train
DHG,BLR,12,2,5054.950000000001,train
DHG,BLR,12,1,3287.035,test
DHG,BLR,12,1,4843.805,train
DHG,BLR,12,2,3144.36,test
DHG,BLR,13,0,4087.689999999999,test
DHG,BLR,13,1,3988.42,test
DHG,BLR,13,2,5158.579999999999,train
DHG,BLR,13,0,5488.19,train
DHG,BLR,13,1,5275.500000000001,train
DHG,BLR,13,2,3959.930000000001,test
DHG,BLR,14,2,4215.9,train
DHG,BLR,14,1,5345.470000000001,train
DHG,BLR,14,1,4127.719999999999,test
DHG,BLR,14,0,3803.7400000000007,test
DHG,BLR,14,0,5496.12,train
DHG,BLR,14,2,3999.295,test
DHG,BLR,15,0,3907.3749999999995,test
DHG,BLR,15,1,5847.545,train
DHG,BLR,15,2,3954.8099999999995,train
DHG,BLR,15,2,3329.9449999999997,test
DHG,BLR,15,1,3891.8249999999994,test
DHG,BLR,15,0,5674.425,train
DHG,BLR,16,0,3926.215,test
DHG,BLR,16,2,3321.5249999999996,test
DHG,BLR,16,0,5587.395,train
DHG,BLR,16,2,4213.860000000001,train
DHG,BLR,16,1,5509.465,train
DHG,BLR,16,1,3751.42,test
DHG,BLR,17,1,5325.92,train
DHG,BLR,17,2,2964.3049999999994,test
DHG,BLR,17,1,2473.98,test
DHG,BLR,17,2,4847.725,train
DHG,BLR,17,0,5333.620000000002,train
DHG,BLR,17,0,2362.585,test
DHG,BLR,18,0,4314.379999999999,train
DHG,BLR,18,0,3270.99,test
DHG,BLR,18,1,3301.7400000000007,test
DHG,BLR,18,1,4304.08,train
DHG,BLR,18,2,4381.860000000001,train
DHG,BLR,18,2,3413.54,test
