dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DHG,BLR,0,1,0.7176772483778229,65451544,18478460,2,39,train
DHG,BLR,0,2,0.7243038868493487,65451572,18044744,0,70,test
DHG,BLR,0,2,0.724303459052137,65451572,18044772,0,71,test
DHG,BLR,0,2,0.7243278434932013,65451572,18043176,0,72,test
DHG,BLR,0,2,0.7263207673606372,65451572,17912736,0,73,test
DHG,BLR,0,2,0.7263184450329169,65451572,17912888,0,74,test
DHG,BLR,0,2,0.7264488620685841,65451572,17904352,0,75,test
DHG,BLR,0,2,0.7264852300504936,65451544,17901964,2,76,test
DHG,BLR,0,2,0.7259216986538927,65451544,17938848,2,75,test
DHG,BLR,0,2,0.7259044645302791,65451544,17939976,2,74,test
DHG,BLR,0,2,0.7258855192170868,65451544,17941216,2,73,test
DHG,BLR,0,2,0.7217515296506986,65451544,18211792,2,72,test
DHG,BLR,0,2,0.7215251026010937,65451544,18226612,2,71,test
DHG,BLR,0,2,0.7214971735426134,65451544,18228440,2,70,test
DHG,BLR,0,2,0.7214857452407846,65451544,18229188,2,69,test
DHG,BLR,0,2,0.7212384783466682,65451544,18245372,2,68,test
DHG,BLR,0,2,0.7192857665817631,65451544,18373180,2,67,test
DHG,BLR,0,2,0.7192989671870842,65451544,18372316,2,66,test
DHG,BLR,0,2,0.7243668341533492,65451572,18040624,0,69,test
DHG,BLR,0,2,0.7240244741562509,65451572,18063032,0,68,test
DHG,BLR,0,2,0.7220680963934678,65451572,18191080,0,67,test
DHG,BLR,0,2,0.7219509410713619,65451572,18198748,0,66,test
DHG,BLR,0,2,0.7210803737456452,65451572,18255728,0,48,test
DHG,BLR,0,2,0.7208510744401984,65451572,18270736,0,49,test
DHG,BLR,0,2,0.7208290734407418,65451572,18272176,0,50,test
DHG,BLR,0,2,0.7206365646954973,65451572,18284776,0,51,test
DHG,BLR,0,2,0.720534015592475,65451572,18291488,0,52,test
DHG,BLR,0,2,0.7203808030768153,65451572,18301516,0,53,test
DHG,BLR,0,2,0.7203549519024539,65451572,18303208,0,54,test
DHG,BLR,0,2,0.7202378576942353,65451572,18310872,0,55,test
DHG,BLR,0,2,0.7192266694273859,65451544,18377048,2,65,test
DHG,BLR,0,2,0.7201987448063126,65451572,18313432,0,56,test
DHG,BLR,0,2,0.7199568560400658,65451572,18329264,0,58,test
DHG,BLR,0,2,0.719954472598458,65451572,18329420,0,59,test
DHG,BLR,0,2,0.7199508668791026,65451572,18329656,0,60,test
DHG,BLR,0,2,0.7199516002457511,65451572,18329608,0,61,test
DHG,BLR,0,2,0.7201729547458386,65451572,18315120,0,62,test
DHG,BLR,0,2,0.7219988543590672,65451572,18195612,0,63,test
DHG,BLR,0,2,0.7219733087541427,65451572,18197284,0,64,test
DHG,BLR,0,2,0.7219771589290476,65451572,18197032,0,65,test
DHG,BLR,0,2,0.7200864174813096,65451572,18320784,0,57,test
DHG,BLR,0,2,0.7193205403985581,65451544,18370904,2,64,test
DHG,BLR,0,2,0.7192670657242249,65451544,18374404,2,63,test
DHG,BLR,0,2,0.7174103028035519,65451544,18495932,2,62,test
DHG,BLR,0,2,0.7177428847209472,65451544,18474164,2,39,train
DHG,BLR,0,2,0.7176216347165164,65451544,18482100,2,38,train
DHG,BLR,0,2,0.7175879609501649,65451544,18484304,2,37,train
DHG,BLR,0,2,0.7175842941153535,65451544,18484544,2,36,train
DHG,BLR,0,2,0.71743645955854,65451544,18494220,2,35,train
DHG,BLR,0,2,0.7173970410843172,65451544,18496800,2,34,train
DHG,BLR,0,2,0.7173903185538297,65451544,18497240,2,33,train
DHG,BLR,0,2,0.7172453563509518,65451544,18506728,2,32,train
DHG,BLR,0,2,0.7177480182896832,65451544,18473828,2,40,train
DHG,BLR,0,2,0.7172055711932479,65451544,18509332,2,31,train
DHG,BLR,0,2,0.7170145290995733,65451544,18521836,2,29,train
DHG,BLR,0,2,0.7169897779645962,65451544,18523456,2,28,train
DHG,BLR,0,2,0.7169208414701417,65451544,18527968,2,27,train
DHG,BLR,0,2,0.7169177857744654,65451544,18528168,2,26,train
DHG,BLR,0,2,0.7168899178298987,65451544,18529992,2,25,train
DHG,BLR,0,2,0.7168430434582261,65451544,18533060,2,24,train
