dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DHG,BLR,0,1,39726378,247810,2,39,train
DHG,BLR,0,2,39661062,243077,0,70,test
DHG,BLR,0,2,39681783,243765,0,71,test
DHG,BLR,0,2,39731156,249251,0,72,test
DHG,BLR,0,2,39826411,238761,0,73,test
DHG,BLR,0,2,40050021,230721,0,74,test
DHG,BLR,0,2,39683627,208884,0,75,test
DHG,BLR,0,2,24539091,117351,2,76,test
DHG,BLR,0,2,39655163,215958,2,75,test
DHG,BLR,0,2,39858539,199398,2,74,test
DHG,BLR,0,2,38933488,134190,2,73,test
DHG,BLR,0,2,40205332,140833,2,72,test
DHG,BLR,0,2,39974721,143990,2,71,test
DHG,BLR,0,2,39839861,148074,2,70,test
DHG,BLR,0,2,40027934,139429,2,69,test
DHG,BLR,0,2,39731483,156446,2,68,test
DHG,BLR,0,2,39799951,141678,2,67,test
DHG,BLR,0,2,39898707,169158,2,66,test
DHG,BLR,0,2,39780653,226683,0,69,test
DHG,BLR,0,2,40318299,260430,0,68,test
DHG,BLR,0,2,39655172,246769,0,67,test
DHG,BLR,0,2,39797218,228347,0,66,test
DHG,BLR,0,2,39709153,252059,0,48,test
DHG,BLR,0,2,40102023,263890,0,49,test
DHG,BLR,0,2,39649627,233561,0,50,test
DHG,BLR,0,2,39668135,208067,0,51,test
DHG,BLR,0,2,39683192,256909,0,52,test
DHG,BLR,0,2,39639266,245781,0,53,test
DHG,BLR,0,2,39811283,253295,0,54,test
DHG,BLR,0,2,39714459,244325,0,55,test
DHG,BLR,0,2,39681111,236563,2,65,test
DHG,BLR,0,2,39655357,255089,0,56,test
DHG,BLR,0,2,39627419,243193,0,58,test
DHG,BLR,0,2,17412229,132569,0,59,test
DHG,BLR,0,2,293,2080,0,60,test
DHG,BLR,0,2,376,289,0,61,test
DHG,BLR,0,2,1782197,52697,0,62,test
DHG,BLR,0,2,41115359,242543,0,63,test
DHG,BLR,0,2,39740220,248641,0,64,test
DHG,BLR,0,2,39632682,247913,0,65,test
DHG,BLR,0,2,39702787,253931,0,57,test
DHG,BLR,0,2,39686209,233562,2,64,test
DHG,BLR,0,2,39685150,248785,2,63,test
DHG,BLR,0,2,10286182,77478,2,62,test
DHG,BLR,0,2,39704201,245249,2,39,train
DHG,BLR,0,2,39771562,199242,2,38,train
DHG,BLR,0,2,39971712,129926,2,37,train
DHG,BLR,0,2,39547670,159950,2,36,train
DHG,BLR,0,2,39966913,271292,2,35,train
DHG,BLR,0,2,39740447,245574,2,34,train
DHG,BLR,0,2,39755463,246341,2,33,train
DHG,BLR,0,2,39761321,245779,2,32,train
DHG,BLR,0,2,39657218,231846,2,40,train
DHG,BLR,0,2,39874806,240946,2,31,train
DHG,BLR,0,2,39733276,234758,2,29,train
DHG,BLR,0,2,39673604,231998,2,28,train
DHG,BLR,0,2,39720350,224345,2,27,train
DHG,BLR,0,2,39703072,224722,2,26,train
DHG,BLR,0,2,39642189,248187,2,25,train
DHG,BLR,0,2,39812535,225593,2,24,train
DHG,BLR,0,2,39790046,143862,2,23,train
DHG,BLR,0,2,38075482,191056,2,22,train
DHG,BLR,0,2,39688431,223253,2,30,train
