transformTime,features,fitTime,testCount,trainCount,f1,accuracy,weightedPrecision,weightedRecall,runId,dataset,algorithm,family,platformId,rmse,mse,mae,r2,silhouette
30267.0,27.0,156084.0,2197354.0,8802646.0,0.7142330825634675,0.7143113945226851,0.7141808087252705,0.7143113945226851,0,DHG,DT-maxDepth-15-maxBins-32,classification,9,,,,,
30607.0,27.0,158264.0,2197354.0,8802646.0,0.7142331182218813,0.7143113945226851,0.7141808578208594,0.7143113945226851,1,DHG,DT-maxDepth-15-maxBins-32,classification,9,,,,,
30356.0,27.0,156798.0,2197354.0,8802646.0,0.7142330290722501,0.7143113945226851,0.7141807350924914,0.7143113945226851,2,DHG,DT-maxDepth-15-maxBins-32,classification,9,,,,,
42073.0,27.0,200995.0,2197354.0,8802646.0,0.7142190871631142,0.7142986519240869,0.7141663437624968,0.7142986519240868,0,DHG,DT-maxDepth-15-maxBins-32,classification,6,,,,,
42079.0,27.0,200594.0,2197354.0,8802646.0,0.7142321721283567,0.7143104843370709,0.7141798980070886,0.7143104843370709,1,DHG,DT-maxDepth-15-maxBins-32,classification,6,,,,,
42137.0,27.0,201713.0,2197354.0,8802646.0,0.7142331182218813,0.7143113945226851,0.7141808578208594,0.7143113945226851,2,DHG,DT-maxDepth-15-maxBins-32,classification,6,,,,,
30295.0,27.0,163957.0,2197354.0,8802646.0,0.7142304047455468,0.7143086639658426,0.7141781502173801,0.7143086639658425,0,DHG,DT-maxDepth-15-maxBins-32,classification,8,,,,,
29743.0,27.0,164019.0,2197354.0,8802646.0,0.7142244601747123,0.7143027477593505,0.7141721937255259,0.7143027477593505,1,DHG,DT-maxDepth-15-maxBins-32,classification,8,,,,,
30063.0,27.0,163178.0,2197354.0,8802646.0,0.7142313151804873,0.7143095741514567,0.7141790609351781,0.7143095741514567,2,DHG,DT-maxDepth-15-maxBins-32,classification,8,,,,,
30911.0,27.0,157479.0,2197354.0,8802646.0,0.7142340108279684,0.7143123047082992,0.7141817439904121,0.7143123047082991,0,DHG,DT-maxDepth-15-maxBins-32,classification,10,,,,,
30408.0,27.0,162056.0,2197354.0,8802646.0,0.7142330290722501,0.7143113945226851,0.7141807350924914,0.7143113945226851,1,DHG,DT-maxDepth-15-maxBins-32,classification,10,,,,,
29971.0,27.0,163805.0,2197354.0,8802646.0,0.7142326184309947,0.7143109394298779,0.7141803410931339,0.7143109394298779,2,DHG,DT-maxDepth-15-maxBins-32,classification,10,,,,,
29969.0,27.0,162057.0,2197354.0,8802646.0,0.7142339751687092,0.7143123047082992,0.7141816948979068,0.7143123047082992,0,DHG,DT-maxDepth-15-maxBins-32,classification,7,,,,,
30483.0,27.0,161919.0,2197354.0,8802646.0,0.7142313151804873,0.7143095741514567,0.7141790609351781,0.7143095741514567,1,DHG,DT-maxDepth-15-maxBins-32,classification,7,,,,,
30881.0,27.0,163055.0,2197354.0,8802646.0,0.7142155704449815,0.7142950111816303,0.7141628720365534,0.7142950111816302,2,DHG,DT-maxDepth-15-maxBins-32,classification,7,,,,,
28261.0,27.0,151406.0,2197354.0,8802646.0,0.7142304225737249,0.7143086639658426,0.714178174769093,0.7143086639658426,0,DHG,DT-maxDepth-15-maxBins-32,classification,12,,,,,
28947.0,27.0,150816.0,2197354.0,8802646.0,0.7142344214711928,0.7143127598011062,0.7141821379848512,0.7143127598011062,1,DHG,DT-maxDepth-15-maxBins-32,classification,12,,,,,
