dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DHG,DT-maxDepth-10-maxBins-32,1,0,23837.945,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,1,1,23555.13,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,1,2,23523.320000000003,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,2,0,19675.33,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,2,1,19481.24,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,2,2,19695.4,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,3,0,18077.98,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,3,1,17820.629999999994,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,3,2,17841.08,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,4,0,17974.315000000002,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,4,1,18071.550000000007,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,4,2,18117.36,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,5,0,17566.53,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,5,1,17598.825,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,5,2,17864.23,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,6,0,17506.13,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,6,1,17634.97,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,6,2,17459.275,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,7,0,15932.62,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,7,1,16004.160000000002,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,7,2,15886.765,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,8,0,16108.975000000002,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,8,1,16012.57,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,8,2,16106.82,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,9,0,15775.13,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,9,1,16000.23,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,9,2,15837.32,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,10,0,15699.085,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,10,1,15475.745,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,10,2,16012.249999999998,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,11,0,16481.344999999998,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,11,1,16238.155,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,11,2,15908.92,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,12,0,14975.29,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,12,1,15021.735,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,12,2,15212.535,train,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,1,0,5379.18,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,1,1,5342.18,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,1,2,5359.299999999998,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,2,0,4425.285,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,2,1,4425.41,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,2,2,4423.635,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,3,0,4038.55,test,DT,maxDepth,10.0,maxBins,32
DHG,DT-maxDepth-10-maxBins-32,3,1,3929.0,test,DT,maxDepth,10.0,maxBins,32
