dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,DT-maxBins-16,0,0,14903.11,train,DT,maxBins,16
DHG,DT-maxBins-16,0,1,14998.16,train,DT,maxBins,16
DHG,DT-maxBins-16,0,2,14545.99,train,DT,maxBins,16
DHG,DT-maxBins-16,0,0,3442.25,test,DT,maxBins,16
DHG,DT-maxBins-16,0,1,3467.09,test,DT,maxBins,16
DHG,DT-maxBins-16,0,2,3570.46,test,DT,maxBins,16
DHG,DT-maxBins-32,0,0,14733.8,train,DT,maxBins,32
DHG,DT-maxBins-32,0,1,15078.659999999998,train,DT,maxBins,32
DHG,DT-maxBins-32,0,2,14635.43,train,DT,maxBins,32
DHG,DT-maxBins-32,0,0,3455.83,test,DT,maxBins,32
DHG,DT-maxBins-32,0,1,3836.95,test,DT,maxBins,32
DHG,DT-maxBins-32,0,2,3513.11,test,DT,maxBins,32
DHG,DT-maxBins-4,0,0,14745.455,train,DT,maxBins,4
DHG,DT-maxBins-4,0,1,14952.329999999998,train,DT,maxBins,4
DHG,DT-maxBins-4,0,2,15307.255,train,DT,maxBins,4
DHG,DT-maxBins-4,0,0,3376.2750000000005,test,DT,maxBins,4
DHG,DT-maxBins-4,0,1,3229.78,test,DT,maxBins,4
DHG,DT-maxBins-4,0,2,2841.0950000000007,test,DT,maxBins,4
DHG,DT-maxBins-48,0,0,14897.725,train,DT,maxBins,48
DHG,DT-maxBins-48,0,1,15623.925,train,DT,maxBins,48
DHG,DT-maxBins-48,0,2,15708.375,train,DT,maxBins,48
DHG,DT-maxBins-48,0,0,3198.64,test,DT,maxBins,48
DHG,DT-maxBins-48,0,1,3492.405,test,DT,maxBins,48
DHG,DT-maxBins-48,0,2,3468.315,test,DT,maxBins,48
DHG,DT-maxDepth-10,0,0,16044.01,train,DT,maxDepth,10
DHG,DT-maxDepth-10,0,1,13723.125,train,DT,maxDepth,10
DHG,DT-maxDepth-10,0,2,15604.914999999995,train,DT,maxDepth,10
DHG,DT-maxDepth-10,0,0,3439.600000000001,test,DT,maxDepth,10
DHG,DT-maxDepth-10,0,1,3464.89,test,DT,maxDepth,10
DHG,DT-maxDepth-10,0,2,3349.825,test,DT,maxDepth,10
DHG,DT-maxDepth-15,0,0,18025.99,train,DT,maxDepth,15
DHG,DT-maxDepth-15,0,1,16886.7,train,DT,maxDepth,15
DHG,DT-maxDepth-15,0,2,18583.390000000007,train,DT,maxDepth,15
DHG,DT-maxDepth-15,0,0,3550.8,test,DT,maxDepth,15
DHG,DT-maxDepth-15,0,1,3456.1800000000007,test,DT,maxDepth,15
DHG,DT-maxDepth-15,0,2,3514.715,test,DT,maxDepth,15
DHG,DT-maxDepth-20,0,0,46966.22,train,DT,maxDepth,20
DHG,DT-maxDepth-20,0,1,41161.58,train,DT,maxDepth,20
DHG,DT-maxDepth-20,0,2,48130.61000000001,train,DT,maxDepth,20
DHG,DT-maxDepth-20,0,0,3588.25,test,DT,maxDepth,20
DHG,DT-maxDepth-20,0,1,3656.08,test,DT,maxDepth,20
DHG,DT-maxDepth-20,0,2,3631.98,test,DT,maxDepth,20
DHG,DT-maxDepth-5,0,0,14064.65,train,DT,maxDepth,5
DHG,DT-maxDepth-5,0,1,14123.845,train,DT,maxDepth,5
DHG,DT-maxDepth-5,0,2,14684.39,train,DT,maxDepth,5
DHG,DT-maxDepth-5,0,0,3333.24,test,DT,maxDepth,5
DHG,DT-maxDepth-5,0,1,3567.2900000000004,test,DT,maxDepth,5
DHG,DT-maxDepth-5,0,2,3673.33,test,DT,maxDepth,5
