dataset,algorithm,platformId,runId,Energy,phase
DHG,DT,0,2,22491.75,train
DHG,DT,0,1,22544.120000000003,train
DHG,DT,0,0,23373.16,train
DHG,DT,0,0,3529.1400000000003,test
DHG,DT,0,1,3215.24,test
DHG,DT,0,2,3319.4700000000003,test
DHG,DT,1,0,21797.255,train
DHG,DT,1,1,2055.7999999999997,test
DHG,DT,1,0,4934.445,test
DHG,DT,1,2,206400.77244,test
DHG,DT,1,1,8986.795,train
DHG,DT,1,2,13329.35,train
DHG,DT,2,1,9833.189999999999,train
DHG,DT,2,2,9456.755000000001,train
DHG,DT,2,0,2120.0450000000005,test
DHG,DT,2,0,9773.33,train
DHG,DT,2,1,2160.89,test
DHG,DT,2,2,2014.9999999999995,test
DHG,DT,3,1,2084.7550000000006,test
DHG,DT,3,0,2216.6849999999995,test
DHG,DT,3,0,13570.675,train
DHG,DT,3,1,9762.545,train
DHG,DT,3,2,9643.715,train
DHG,DT,3,2,2077.7999999999997,test
DHG,DT,4,1,15447.125,train
DHG,DT,4,0,14872.774999999998,train
DHG,DT,4,2,15544.595000000001,train
DHG,DT,4,2,3631.0249999999996,test
DHG,DT,4,1,3510.5950000000003,test
DHG,DT,4,0,3850.754999999999,test
DHG,DT,5,1,4376.815,test
DHG,DT,5,0,3848.45,test
DHG,DT,5,1,18674.825,train
DHG,DT,5,2,19088.265,train
DHG,DT,5,0,18574.03,train
DHG,DT,5,2,4357.555,test
DHG,DT,6,2,16230.89,train
DHG,DT,6,1,16228.91,train
DHG,DT,6,2,3690.745000000001,test
DHG,DT,6,1,3864.585,test
DHG,DT,6,0,3581.9799999999996,test
DHG,DT,6,0,14378.7,train
DHG,DT,7,2,13433.025000000001,train
DHG,DT,7,1,3235.825,test
DHG,DT,7,0,2885.41,test
DHG,DT,7,0,14769.715,train
DHG,DT,7,1,13979.509999999998,train
DHG,DT,7,2,2757.3500000000004,test
DHG,DT,8,2,13653.62,train
DHG,DT,8,1,13306.950000000003,train
DHG,DT,8,2,3014.2250000000004,test
DHG,DT,8,1,3036.415,test
DHG,DT,8,0,3170.4,test
DHG,DT,8,0,14406.450000000003,train
DHG,DT,9,2,5370.165000000001,test
DHG,DT,9,0,4821.450000000001,test
DHG,DT,9,1,5005.15,test
DHG,DT,9,0,21379.43,train
DHG,DT,9,1,20812.789999999997,train
DHG,DT,9,2,23846.045,train
DHG,DT,10,2,4737.08,test
DHG,DT,10,1,18309.93,train
DHG,DT,10,2,20694.195,train
DHG,DT,10,1,3594.745,test
DHG,DT,10,0,4251.094999999999,test
DHG,DT,10,0,18886.27,train
DHG,DT,11,2,3738.699999999999,test
DHG,DT,11,1,3642.5,test
DHG,DT,11,0,3943.19,test
DHG,DT,11,0,17330.46,train
DHG,DT,11,2,16319.800000000001,train
DHG,DT,11,1,15861.08,train
DHG,DT,12,1,3461.1600000000003,test
DHG,DT,12,1,14505.27,train
DHG,DT,12,2,14882.869999999999,train
DHG,DT,12,0,2890.2,test
DHG,DT,12,0,14510.93,train
DHG,DT,12,2,3269.59,test
DHG,DT,13,1,4021.25,test
DHG,DT,13,2,4024.0600000000004,test
DHG,DT,13,0,16357.6,train
DHG,DT,13,1,17426.260000000002,train
DHG,DT,13,2,17243.864999999998,train
DHG,DT,13,0,3266.2000000000003,test
DHG,DT,14,2,16076.045000000004,train
DHG,DT,14,1,17695.095,train
DHG,DT,14,1,2932.46,test
DHG,DT,14,0,3965.4200000000005,test
DHG,DT,14,0,17821.665,train
DHG,DT,14,2,3773.075,test
DHG,DT,15,0,868.4749999999999,test
DHG,DT,15,1,10297.34,train
DHG,DT,15,2,9741.45,train
DHG,DT,15,2,2362.794999999999,test
DHG,DT,15,1,2168.0400000000004,test
DHG,DT,15,0,3856.1600000000008,train
DHG,DT,16,2,1454.4700000000003,test
DHG,DT,16,1,1911.0800000000004,test
DHG,DT,16,2,6545.459999999998,train
DHG,DT,16,1,9189.545,train
DHG,DT,16,0,9547.384999999998,train
DHG,DT,16,0,1708.4549999999997,test
DHG,DT,17,1,22960.495000000003,train
DHG,DT,17,2,3672.9700000000003,test
DHG,DT,17,1,3231.0200000000004,test
DHG,DT,17,2,22887.075,train
DHG,DT,17,0,22497.905,train
DHG,DT,17,0,3369.3299999999995,test
DHG,DT,18,0,22160.54,train
DHG,DT,18,0,3428.9300000000003,test
DHG,DT,18,1,3409.4900000000002,test
DHG,DT,18,1,22442.585,train
DHG,DT,18,2,22120.370000000003,train
DHG,DT,18,2,3203.38,test
DHG,DT,19,2,21989.57,train
DHG,DT,19,2,3106.23,test
DHG,DT,19,1,3062.9500000000007,test
DHG,DT,19,1,22478.59,train
DHG,DT,19,0,22377.31,train
DHG,DT,19,0,3009.8199999999993,test
DHG,DT,20,0,21850.555,train
DHG,DT,20,2,3365.020000000001,test
DHG,DT,20,1,3117.4700000000003,test
DHG,DT,20,2,22068.190000000002,train
DHG,DT,20,1,22102.815000000002,train
