dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,GMM-maxIter-10,0,0,17032.19,train,GMM,maxIter,10
DHG,GMM-maxIter-10,0,1,17086.14,train,GMM,maxIter,10
DHG,GMM-maxIter-10,0,2,17837.159999999996,train,GMM,maxIter,10
DHG,GMM-maxIter-10,0,0,797.7650000000001,test,GMM,maxIter,10
DHG,GMM-maxIter-10,0,1,1776.65,test,GMM,maxIter,10
DHG,GMM-maxIter-10,0,2,1845.26,test,GMM,maxIter,10
DHG,GMM-maxIter-100,0,0,20934.575,train,GMM,maxIter,100
DHG,GMM-maxIter-100,0,1,20495.055,train,GMM,maxIter,100
DHG,GMM-maxIter-100,0,2,19649.640000000007,train,GMM,maxIter,100
DHG,GMM-maxIter-100,0,0,760.2449999999999,test,GMM,maxIter,100
DHG,GMM-maxIter-100,0,1,1128.605,test,GMM,maxIter,100
DHG,GMM-maxIter-100,0,2,1660.305,test,GMM,maxIter,100
DHG,GMM-maxIter-15,0,0,17475.07,train,GMM,maxIter,15
DHG,GMM-maxIter-15,0,1,16633.87,train,GMM,maxIter,15
DHG,GMM-maxIter-15,0,2,18013.405000000002,train,GMM,maxIter,15
DHG,GMM-maxIter-15,0,0,1511.7,test,GMM,maxIter,15
DHG,GMM-maxIter-15,0,1,1638.09,test,GMM,maxIter,15
DHG,GMM-maxIter-15,0,2,1658.5000000000002,test,GMM,maxIter,15
DHG,GMM-maxIter-20,0,0,17869.54,train,GMM,maxIter,20
DHG,GMM-maxIter-20,0,1,20795.47,train,GMM,maxIter,20
DHG,GMM-maxIter-20,0,2,20590.120000000006,train,GMM,maxIter,20
DHG,GMM-maxIter-20,0,0,1704.28,test,GMM,maxIter,20
DHG,GMM-maxIter-20,0,1,1785.5,test,GMM,maxIter,20
DHG,GMM-maxIter-20,0,2,879.91,test,GMM,maxIter,20
DHG,GMM-maxIter-5,0,0,12917.275,train,GMM,maxIter,5
DHG,GMM-maxIter-5,0,1,12964.105,train,GMM,maxIter,5
DHG,GMM-maxIter-5,0,2,11652.159999999998,train,GMM,maxIter,5
DHG,GMM-maxIter-5,0,0,1716.4450000000004,test,GMM,maxIter,5
DHG,GMM-maxIter-5,0,1,1588.6250000000002,test,GMM,maxIter,5
DHG,GMM-maxIter-5,0,2,1705.22,test,GMM,maxIter,5
DHG,GMM-maxIter-50,0,0,19691.65,train,GMM,maxIter,50
DHG,GMM-maxIter-50,0,1,20893.105,train,GMM,maxIter,50
DHG,GMM-maxIter-50,0,2,20908.67,train,GMM,maxIter,50
DHG,GMM-maxIter-50,0,0,1688.35,test,GMM,maxIter,50
DHG,GMM-maxIter-50,0,1,1464.1550000000002,test,GMM,maxIter,50
DHG,GMM-maxIter-50,0,2,1673.4499999999996,test,GMM,maxIter,50
DHG,GMM-tol-0.0001,0,0,26214.455,train,GMM,tol,0.0001
DHG,GMM-tol-0.0001,0,1,23791.42,train,GMM,tol,0.0001
DHG,GMM-tol-0.0001,0,2,21331.27,train,GMM,tol,0.0001
DHG,GMM-tol-0.0001,0,0,1718.395,test,GMM,tol,0.0001
DHG,GMM-tol-0.0001,0,1,1639.56,test,GMM,tol,0.0001
DHG,GMM-tol-0.0001,0,2,1534.0100000000002,test,GMM,tol,0.0001
DHG,GMM-tol-0.01,0,0,19198.675,train,GMM,tol,0.01
DHG,GMM-tol-0.01,0,1,20159.27,train,GMM,tol,0.01
DHG,GMM-tol-0.01,0,2,19174.18,train,GMM,tol,0.01
DHG,GMM-tol-0.01,0,0,1637.015,test,GMM,tol,0.01
DHG,GMM-tol-0.01,0,1,1649.27,test,GMM,tol,0.01
DHG,GMM-tol-0.01,0,2,1637.64,test,GMM,tol,0.01
DHG,GMM-tol-0.1,0,0,19204.49,train,GMM,tol,0.1
DHG,GMM-tol-0.1,0,1,17480.935,train,GMM,tol,0.1
DHG,GMM-tol-0.1,0,2,19845.615,train,GMM,tol,0.1
DHG,GMM-tol-0.1,0,0,759.975,test,GMM,tol,0.1
DHG,GMM-tol-0.1,0,1,1661.1650000000004,test,GMM,tol,0.1
DHG,GMM-tol-0.1,0,2,1625.8449999999998,test,GMM,tol,0.1
DHG,GMM-tol-1e-06,0,0,24576.7,train,GMM,tol,1e-06
DHG,GMM-tol-1e-06,0,1,24341.28,train,GMM,tol,1e-06
DHG,GMM-tol-1e-06,0,2,22465.980000000003,train,GMM,tol,1e-06
DHG,GMM-tol-1e-06,0,0,1647.14,test,GMM,tol,1e-06
DHG,GMM-tol-1e-06,0,1,1468.36,test,GMM,tol,1e-06
DHG,GMM-tol-1e-06,0,2,1541.8749999999998,test,GMM,tol,1e-06
