dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DHG,KM-tol-0.0001-maxIter-10,1,0,10404.465000000002,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,1,1,10326.64,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,1,2,10446.27,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,2,0,7637.744999999999,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,2,1,7686.494999999999,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,2,2,7684.929999999998,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,3,0,7264.700000000002,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,3,1,7288.300000000001,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,3,2,7294.15,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,4,0,8160.745000000001,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,4,1,8312.970000000001,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,4,2,8230.52,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,5,0,7046.200000000002,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,5,1,7103.295,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,5,2,6998.57,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,6,0,6692.81,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,6,1,6588.53,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,6,2,6595.23,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,7,0,7482.41,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,7,1,7478.275,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,7,2,7456.775,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,8,0,6498.9299999999985,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,8,1,6418.280000000002,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,8,2,6706.215000000001,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,9,0,6301.285,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,9,1,6335.250000000001,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,9,2,6422.299999999998,train,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,1,0,609.77,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,1,1,607.24,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,1,2,605.135,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,2,0,673.885,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,2,1,643.255,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,2,2,597.905,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,3,0,608.8,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,3,1,585.12,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,3,2,592.895,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,4,0,516.44,test,KM,tol,0.0001,maxIter,10
DHG,KM-tol-0.0001-maxIter-10,4,1,454.53,test,KM,tol,0.0001,maxIter,10
