dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,KM-maxIter-10,0,0,7955.58,train,KM,maxIter,10
DHG,KM-maxIter-10,0,1,7955.52,train,KM,maxIter,10
DHG,KM-maxIter-10,0,2,8019.8600000000015,train,KM,maxIter,10
DHG,KM-maxIter-10,0,0,1557.06,test,KM,maxIter,10
DHG,KM-maxIter-10,0,1,1596.38,test,KM,maxIter,10
DHG,KM-maxIter-10,0,2,1376.075,test,KM,maxIter,10
DHG,KM-maxIter-100,0,0,9220.305,train,KM,maxIter,100
DHG,KM-maxIter-100,0,1,9135.85,train,KM,maxIter,100
DHG,KM-maxIter-100,0,2,9088.085,train,KM,maxIter,100
DHG,KM-maxIter-100,0,0,1349.14,test,KM,maxIter,100
DHG,KM-maxIter-100,0,1,1420.48,test,KM,maxIter,100
DHG,KM-maxIter-100,0,2,1570.16,test,KM,maxIter,100
DHG,KM-maxIter-15,0,0,8097.045,train,KM,maxIter,15
DHG,KM-maxIter-15,0,1,8367.625,train,KM,maxIter,15
DHG,KM-maxIter-15,0,2,8229.654999999999,train,KM,maxIter,15
DHG,KM-maxIter-15,0,0,1310.58,test,KM,maxIter,15
DHG,KM-maxIter-15,0,1,1376.715,test,KM,maxIter,15
DHG,KM-maxIter-15,0,2,1387.73,test,KM,maxIter,15
DHG,KM-maxIter-20,0,0,8793.21,train,KM,maxIter,20
DHG,KM-maxIter-20,0,1,8426.849999999999,train,KM,maxIter,20
DHG,KM-maxIter-20,0,2,8444.58,train,KM,maxIter,20
DHG,KM-maxIter-20,0,0,1403.875,test,KM,maxIter,20
DHG,KM-maxIter-20,0,1,1409.5200000000002,test,KM,maxIter,20
DHG,KM-maxIter-20,0,2,1454.32,test,KM,maxIter,20
DHG,KM-maxIter-5,0,0,7619.289999999999,train,KM,maxIter,5
DHG,KM-maxIter-5,0,1,7724.49,train,KM,maxIter,5
DHG,KM-maxIter-5,0,2,7767.299999999997,train,KM,maxIter,5
DHG,KM-maxIter-5,0,0,1531.0099999999998,test,KM,maxIter,5
DHG,KM-maxIter-5,0,1,1581.8149999999996,test,KM,maxIter,5
DHG,KM-maxIter-5,0,2,1601.39,test,KM,maxIter,5
DHG,KM-maxIter-50,0,0,9324.975,train,KM,maxIter,50
DHG,KM-maxIter-50,0,1,9049.02,train,KM,maxIter,50
DHG,KM-maxIter-50,0,2,8979.77,train,KM,maxIter,50
DHG,KM-maxIter-50,0,0,1309.24,test,KM,maxIter,50
DHG,KM-maxIter-50,0,1,1491.0400000000004,test,KM,maxIter,50
DHG,KM-maxIter-50,0,2,1582.17,test,KM,maxIter,50
DHG,KM-tol-0.0001,0,0,8592.8,train,KM,tol,0.0001
DHG,KM-tol-0.0001,0,1,8756.895000000002,train,KM,tol,0.0001
DHG,KM-tol-0.0001,0,2,8697.575,train,KM,tol,0.0001
DHG,KM-tol-0.0001,0,0,1584.0599999999995,test,KM,tol,0.0001
DHG,KM-tol-0.0001,0,1,1583.275,test,KM,tol,0.0001
DHG,KM-tol-0.0001,0,2,1643.62,test,KM,tol,0.0001
DHG,KM-tol-0.01,0,0,8184.94,train,KM,tol,0.01
DHG,KM-tol-0.01,0,1,8129.120000000001,train,KM,tol,0.01
DHG,KM-tol-0.01,0,2,8460.990000000002,train,KM,tol,0.01
DHG,KM-tol-0.01,0,0,1632.1650000000004,test,KM,tol,0.01
DHG,KM-tol-0.01,0,1,1445.5,test,KM,tol,0.01
DHG,KM-tol-0.01,0,2,1160.01,test,KM,tol,0.01
DHG,KM-tol-0.1,0,0,7982.06,train,KM,tol,0.1
DHG,KM-tol-0.1,0,1,8069.1799999999985,train,KM,tol,0.1
DHG,KM-tol-0.1,0,2,7687.9450000000015,train,KM,tol,0.1
DHG,KM-tol-0.1,0,0,1671.13,test,KM,tol,0.1
DHG,KM-tol-0.1,0,1,1337.0749999999996,test,KM,tol,0.1
DHG,KM-tol-0.1,0,2,1605.7699999999998,test,KM,tol,0.1
DHG,KM-tol-1e-06,0,0,8435.13,train,KM,tol,1e-06
DHG,KM-tol-1e-06,0,1,7917.280000000002,train,KM,tol,1e-06
DHG,KM-tol-1e-06,0,2,8248.809999999998,train,KM,tol,1e-06
DHG,KM-tol-1e-06,0,0,1653.8,test,KM,tol,1e-06
DHG,KM-tol-1e-06,0,1,1615.5799999999995,test,KM,tol,1e-06
DHG,KM-tol-1e-06,0,2,1671.0600000000004,test,KM,tol,1e-06
