dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DHG,KM-tol-0.01,0,0,65451572,6696168,0,0,train
DHG,KM-tol-1e-06,0,0,65451544,13738472,3,80,test
DHG,KM-tol-1e-06,0,0,65451544,13738240,3,81,test
DHG,KM-tol-1e-06,0,0,65451544,13738388,3,82,test
DHG,KM-tol-1e-06,0,0,65451544,13738180,3,83,test
DHG,KM-tol-1e-06,0,0,65451544,13737752,3,84,test
DHG,KM-tol-1e-06,0,0,65451544,13738456,3,85,test
DHG,KM-tol-1e-06,0,0,65451544,13737688,3,86,test
DHG,KM-tol-1e-06,0,0,65451544,13738780,3,79,test
DHG,KM-tol-1e-06,0,0,65451544,13737092,3,87,test
DHG,KM-tol-1e-06,0,0,65451544,13736504,3,89,test
DHG,KM-tol-1e-06,0,1,65451544,16863552,3,0,train
DHG,KM-tol-1e-06,0,1,65451544,16589100,3,1,train
DHG,KM-tol-1e-06,0,1,65451544,16288628,3,2,train
DHG,KM-tol-1e-06,0,1,65451544,15775572,3,3,train
DHG,KM-tol-1e-06,0,1,65451544,15699712,3,4,train
DHG,KM-tol-1e-06,0,1,65451544,15638680,3,5,train
DHG,KM-tol-1e-06,0,0,65451544,13736248,3,88,test
DHG,KM-tol-1e-06,0,0,65451544,13738172,3,78,test
DHG,KM-tol-1e-06,0,0,65451544,13739168,3,77,test
DHG,KM-tol-1e-06,0,0,65451544,13739692,3,76,test
DHG,KM-tol-1e-06,0,0,65451544,13768868,3,59,train
DHG,KM-tol-1e-06,0,0,65451544,13769300,3,60,train
DHG,KM-tol-1e-06,0,0,65451544,13769020,3,61,train
DHG,KM-tol-1e-06,0,0,65451544,13768808,3,62,train
DHG,KM-tol-1e-06,0,0,65451544,13766972,3,63,train
DHG,KM-tol-1e-06,0,0,65451544,13747292,3,64,train
DHG,KM-tol-1e-06,0,0,65451544,13747024,3,65,train
DHG,KM-tol-1e-06,0,0,65451544,13746072,3,66,train
DHG,KM-tol-1e-06,0,0,65451544,13745048,3,67,train
DHG,KM-tol-1e-06,0,0,65451544,13744024,3,68,train
DHG,KM-tol-1e-06,0,0,65451544,13745024,3,69,train
DHG,KM-tol-1e-06,0,0,65451544,13744284,3,70,train
DHG,KM-tol-1e-06,0,0,65451544,13744044,3,71,train
DHG,KM-tol-1e-06,0,0,65451544,13743728,3,72,train
DHG,KM-tol-1e-06,0,0,65451544,13743176,3,73,train
DHG,KM-tol-1e-06,0,0,65451544,13742616,3,74,train
DHG,KM-tol-1e-06,0,0,65451544,13743144,3,75,train
DHG,KM-tol-1e-06,0,1,65451544,15555932,3,6,train
DHG,KM-tol-1e-06,0,1,65451544,15364672,3,7,train
DHG,KM-tol-1e-06,0,1,65451544,14648284,3,8,train
DHG,KM-tol-1e-06,0,1,65451544,14007444,3,9,train
DHG,KM-tol-1e-06,0,1,65451544,13909872,3,31,train
DHG,KM-tol-1e-06,0,1,65451544,13913528,3,32,train
DHG,KM-tol-1e-06,0,1,65451544,13913312,3,33,train
DHG,KM-tol-1e-06,0,1,65451544,13912712,3,34,train
DHG,KM-tol-1e-06,0,1,65451544,13912620,3,35,train
DHG,KM-tol-1e-06,0,1,65451544,13911496,3,36,train
DHG,KM-tol-1e-06,0,1,65451544,13911104,3,37,train
DHG,KM-tol-1e-06,0,1,65451544,13910972,3,38,train
DHG,KM-tol-1e-06,0,1,65451544,13910288,3,39,train
DHG,KM-tol-1e-06,0,1,65451544,13910960,3,40,train
DHG,KM-tol-1e-06,0,1,65451544,13902416,3,41,train
DHG,KM-tol-1e-06,0,1,65451544,13901972,3,42,train
DHG,KM-tol-1e-06,0,1,65451544,13902436,3,43,train
DHG,KM-tol-1e-06,0,1,65451544,13901852,3,44,train
DHG,KM-tol-1e-06,0,1,65451544,13908700,3,45,train
DHG,KM-tol-1e-06,0,1,65451544,13908368,3,46,train
DHG,KM-tol-1e-06,0,1,65451544,13908800,3,47,train
DHG,KM-tol-1e-06,0,1,65451544,13910464,3,30,train
DHG,KM-tol-1e-06,0,0,65451544,13768740,3,58,train
DHG,KM-tol-1e-06,0,1,65451544,13910448,3,29,train
DHG,KM-tol-1e-06,0,1,65451544,13912160,3,27,train
DHG,KM-tol-1e-06,0,1,65451544,14006548,3,10,train
DHG,KM-tol-1e-06,0,1,65451544,14003604,3,11,train
DHG,KM-tol-1e-06,0,1,65451544,14020828,3,12,train
DHG,KM-tol-1e-06,0,1,65451544,14012696,3,13,train
DHG,KM-tol-1e-06,0,1,65451544,13992832,3,14,train
DHG,KM-tol-1e-06,0,1,65451544,13975276,3,15,train
DHG,KM-tol-1e-06,0,1,65451544,13965048,3,16,train
DHG,KM-tol-1e-06,0,1,65451544,13945108,3,17,train
DHG,KM-tol-1e-06,0,1,65451544,13937172,3,18,train
DHG,KM-tol-1e-06,0,1,65451544,13928044,3,19,train
DHG,KM-tol-1e-06,0,1,65451544,13922528,3,20,train
DHG,KM-tol-1e-06,0,1,65451544,13917300,3,21,train
DHG,KM-tol-1e-06,0,1,65451544,13924652,3,22,train
DHG,KM-tol-1e-06,0,1,65451544,13922528,3,23,train
DHG,KM-tol-1e-06,0,1,65451544,13920220,3,24,train
DHG,KM-tol-1e-06,0,1,65451544,13918692,3,25,train
DHG,KM-tol-1e-06,0,1,65451544,13913276,3,26,train
DHG,KM-tol-1e-06,0,1,65451544,13910964,3,28,train
DHG,KM-tol-1e-06,0,0,65451544,13768756,3,57,train
DHG,KM-tol-1e-06,0,0,65451544,13768852,3,56,train
DHG,KM-tol-1e-06,0,0,65451544,13769040,3,55,train
DHG,KM-tol-1e-06,0,2,65451544,3823364,2,85,test
DHG,KM-tol-1e-06,0,2,65451544,3821568,2,86,test
DHG,KM-tol-1e-06,0,2,65451544,3820780,2,87,test
DHG,KM-tol-1e-06,0,2,65451544,3774488,2,88,test
DHG,KM-tol-1e-06,0,0,65451544,16884400,3,0,train
DHG,KM-tol-1e-06,0,0,65451544,16609616,3,1,train
DHG,KM-tol-1e-06,0,0,65451544,16323056,3,2,train
DHG,KM-tol-1e-06,0,0,65451544,15745700,3,3,train
DHG,KM-tol-1e-06,0,0,65451544,15667580,3,4,train
DHG,KM-tol-1e-06,0,0,65451544,15426164,3,5,train
DHG,KM-tol-1e-06,0,0,65451544,15302460,3,6,train
DHG,KM-tol-1e-06,0,0,65451544,14570560,3,7,train
DHG,KM-tol-1e-06,0,0,65451544,13905736,3,8,train
DHG,KM-tol-1e-06,0,0,65451544,13900000,3,9,train
DHG,KM-tol-1e-06,0,0,65451544,13897980,3,10,train
DHG,KM-tol-1e-06,0,0,65451544,13892896,3,11,train
DHG,KM-tol-1e-06,0,0,65451544,13889496,3,12,train
DHG,KM-tol-1e-06,0,2,65451544,3857516,2,84,test
