dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DHG,KM-tol-0.01,0,0,0,0,0,0,train
DHG,KM-tol-1e-06,0,0,170115272,287878219,3,80,test
DHG,KM-tol-1e-06,0,0,174539401,292355325,3,81,test
DHG,KM-tol-1e-06,0,0,175534565,293207999,3,82,test
DHG,KM-tol-1e-06,0,0,167867227,285777518,3,83,test
DHG,KM-tol-1e-06,0,0,177348805,295098402,3,84,test
DHG,KM-tol-1e-06,0,0,180514214,298533339,3,85,test
DHG,KM-tol-1e-06,0,0,179449349,297004698,3,86,test
DHG,KM-tol-1e-06,0,0,176637266,294352858,3,79,test
DHG,KM-tol-1e-06,0,0,182358651,300261296,3,87,test
DHG,KM-tol-1e-06,0,0,170269091,288012244,3,89,test
DHG,KM-tol-1e-06,0,1,0,0,3,0,train
DHG,KM-tol-1e-06,0,1,14043,13621,3,1,train
DHG,KM-tol-1e-06,0,1,30148,29268,3,2,train
DHG,KM-tol-1e-06,0,1,87513,80833,3,3,train
DHG,KM-tol-1e-06,0,1,1260,673,3,4,train
DHG,KM-tol-1e-06,0,1,124130,16382618,3,5,train
DHG,KM-tol-1e-06,0,0,181695323,299522304,3,88,test
DHG,KM-tol-1e-06,0,0,176132186,293738107,3,78,test
DHG,KM-tol-1e-06,0,0,181538331,299293230,3,77,test
DHG,KM-tol-1e-06,0,0,173453306,291317156,3,76,test
DHG,KM-tol-1e-06,0,0,177543567,295281016,3,59,train
DHG,KM-tol-1e-06,0,0,112081188,229749920,3,60,train
DHG,KM-tol-1e-06,0,0,6077537,124324852,3,61,train
DHG,KM-tol-1e-06,0,0,724488,119196163,3,62,train
DHG,KM-tol-1e-06,0,0,579880,89917711,3,63,train
DHG,KM-tol-1e-06,0,0,83088274,160938749,3,64,train
DHG,KM-tol-1e-06,0,0,181213987,299105643,3,65,train
DHG,KM-tol-1e-06,0,0,182189516,300035886,3,66,train
DHG,KM-tol-1e-06,0,0,169077498,286828076,3,67,train
DHG,KM-tol-1e-06,0,0,179869651,297725126,3,68,train
DHG,KM-tol-1e-06,0,0,180732096,298523343,3,69,train
DHG,KM-tol-1e-06,0,0,171473652,289422327,3,70,train
DHG,KM-tol-1e-06,0,0,180216471,298017298,3,71,train
DHG,KM-tol-1e-06,0,0,174803351,292734449,3,72,train
DHG,KM-tol-1e-06,0,0,177246290,295048604,3,73,train
DHG,KM-tol-1e-06,0,0,179360798,297124983,3,74,train
DHG,KM-tol-1e-06,0,0,168304848,286149016,3,75,train
DHG,KM-tol-1e-06,0,1,16679820,49420448,3,6,train
DHG,KM-tol-1e-06,0,1,196140,63198758,3,7,train
DHG,KM-tol-1e-06,0,1,80259971,198283285,3,8,train
DHG,KM-tol-1e-06,0,1,170095621,288063532,3,9,train
DHG,KM-tol-1e-06,0,1,167563774,285284267,3,31,train
DHG,KM-tol-1e-06,0,1,166375637,284214348,3,32,train
DHG,KM-tol-1e-06,0,1,190093094,307748428,3,33,train
DHG,KM-tol-1e-06,0,1,186449313,304232303,3,34,train
DHG,KM-tol-1e-06,0,1,192073799,310027854,3,35,train
DHG,KM-tol-1e-06,0,1,190016265,307572684,3,36,train
DHG,KM-tol-1e-06,0,1,193877537,311684077,3,37,train
DHG,KM-tol-1e-06,0,1,177509765,295200128,3,38,train
DHG,KM-tol-1e-06,0,1,195210497,312950744,3,39,train
DHG,KM-tol-1e-06,0,1,186867220,304641155,3,40,train
DHG,KM-tol-1e-06,0,1,162935220,280758464,3,41,train
DHG,KM-tol-1e-06,0,1,185777443,303482871,3,42,train
DHG,KM-tol-1e-06,0,1,172510939,290331901,3,43,train
DHG,KM-tol-1e-06,0,1,177215436,294990751,3,44,train
DHG,KM-tol-1e-06,0,1,193578876,311334063,3,45,train
DHG,KM-tol-1e-06,0,1,191116794,308786294,3,46,train
DHG,KM-tol-1e-06,0,1,184910566,302573650,3,47,train
DHG,KM-tol-1e-06,0,1,190568378,308331479,3,30,train
DHG,KM-tol-1e-06,0,0,184815218,302555409,3,58,train
DHG,KM-tol-1e-06,0,1,180528333,298281425,3,29,train
DHG,KM-tol-1e-06,0,1,195245546,313057551,3,27,train
DHG,KM-tol-1e-06,0,1,189671522,307500809,3,10,train
DHG,KM-tol-1e-06,0,1,178349789,296053943,3,11,train
DHG,KM-tol-1e-06,0,1,188592516,306530305,3,12,train
DHG,KM-tol-1e-06,0,1,191584197,309460960,3,13,train
DHG,KM-tol-1e-06,0,1,176298382,294108442,3,14,train
DHG,KM-tol-1e-06,0,1,195467409,313206003,3,15,train
DHG,KM-tol-1e-06,0,1,186917244,304728774,3,16,train
DHG,KM-tol-1e-06,0,1,168162662,285855973,3,17,train
DHG,KM-tol-1e-06,0,1,183636154,301227363,3,18,train
DHG,KM-tol-1e-06,0,1,176680417,294653783,3,19,train
DHG,KM-tol-1e-06,0,1,181360349,299069224,3,20,train
DHG,KM-tol-1e-06,0,1,178479674,296292651,3,21,train
DHG,KM-tol-1e-06,0,1,193576611,311150839,3,22,train
DHG,KM-tol-1e-06,0,1,186364521,304142547,3,23,train
DHG,KM-tol-1e-06,0,1,194503663,312320650,3,24,train
DHG,KM-tol-1e-06,0,1,190640489,308376626,3,25,train
DHG,KM-tol-1e-06,0,1,176539199,294333224,3,26,train
DHG,KM-tol-1e-06,0,1,189949642,307883456,3,28,train
DHG,KM-tol-1e-06,0,0,193996110,311798118,3,57,train
DHG,KM-tol-1e-06,0,0,193818674,311504607,3,56,train
DHG,KM-tol-1e-06,0,0,178743936,296359308,3,55,train
DHG,KM-tol-1e-06,0,2,39959046,243472,2,85,test
DHG,KM-tol-1e-06,0,2,39772199,174276,2,86,test
DHG,KM-tol-1e-06,0,2,39660814,236566,2,87,test
DHG,KM-tol-1e-06,0,2,39705693,222419,2,88,test
DHG,KM-tol-1e-06,0,0,0,0,3,0,train
DHG,KM-tol-1e-06,0,0,13939,13517,3,1,train
DHG,KM-tol-1e-06,0,0,24748,23868,3,2,train
DHG,KM-tol-1e-06,0,0,87051,80367,3,3,train
DHG,KM-tol-1e-06,0,0,1260,673,3,4,train
DHG,KM-tol-1e-06,0,0,16394877,16393052,3,5,train
DHG,KM-tol-1e-06,0,0,512821,45123409,3,6,train
DHG,KM-tol-1e-06,0,0,96676489,100934217,3,7,train
DHG,KM-tol-1e-06,0,0,167022766,202477055,3,8,train
DHG,KM-tol-1e-06,0,0,189164605,307244279,3,9,train
DHG,KM-tol-1e-06,0,0,177049070,294708387,3,10,train
DHG,KM-tol-1e-06,0,0,184540160,302353580,3,11,train
DHG,KM-tol-1e-06,0,0,170528471,288311059,3,12,train
DHG,KM-tol-1e-06,0,2,39715575,227934,2,84,test
DHG,KM-tol-1e-06,0,0,180579587,298374783,3,13,train
DHG,KM-tol-1e-06,0,2,39681629,243391,2,83,test
DHG,KM-tol-1e-06,0,2,39752090,232094,2,81,test
DHG,KM-tol-1e-06,0,2,39681112,236683,2,64,train
DHG,KM-tol-1e-06,0,2,39677186,258068,2,65,train
DHG,KM-tol-1e-06,0,2,39656056,234590,2,66,train
DHG,KM-tol-1e-06,0,2,39770937,235799,2,67,train
DHG,KM-tol-1e-06,0,2,39742601,241987,2,68,train
DHG,KM-tol-1e-06,0,2,39740377,246030,2,69,train
DHG,KM-tol-1e-06,0,2,39722921,231119,2,70,train
DHG,KM-tol-1e-06,0,2,39698322,242908,2,71,train
DHG,KM-tol-1e-06,0,2,39648910,217678,2,72,train
DHG,KM-tol-1e-06,0,2,39712316,237067,2,73,train
