dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DHG,LR-maxIter-50,0,0,0.14183004845285185,0,0,train
DHG,LR-maxIter-5,0,2,0.19924812030075187,2,31,train
DHG,LR-maxIter-5,0,2,0.2409488139825219,2,30,train
DHG,LR-maxIter-5,0,2,0.20125000000000004,2,29,train
DHG,LR-maxIter-5,0,2,0.22540473225404728,2,28,train
DHG,LR-maxIter-5,0,2,0.2231920199501247,2,27,train
DHG,LR-maxIter-5,0,2,0.21578298397040682,2,26,train
DHG,LR-maxIter-5,0,2,0.20698254364089774,2,32,train
DHG,LR-maxIter-5,0,2,0.27539779681762544,2,25,train
DHG,LR-maxIter-5,0,2,0.34122042341220427,2,23,train
DHG,LR-maxIter-5,0,2,0.2817955112219451,2,22,train
DHG,LR-maxIter-5,0,2,0.2521525215252153,2,21,train
DHG,LR-maxIter-5,0,2,0.2403486924034869,2,20,train
DHG,LR-maxIter-5,0,2,0.2493765586034913,2,19,train
DHG,LR-maxIter-5,0,2,0.2765957446808511,2,18,train
DHG,LR-maxIter-5,0,2,0.33457711442786064,2,24,train
DHG,LR-maxIter-5,0,2,0.23279098873591983,2,33,train
DHG,LR-maxIter-5,0,2,0.3075,2,34,train
DHG,LR-maxIter-5,0,2,0.3246913580246914,2,35,train
DHG,LR-maxIter-5,0,2,0.25679012345679014,2,50,train
DHG,LR-maxIter-5,0,2,0.18858560794044663,2,49,train
DHG,LR-maxIter-5,0,2,0.22154222766217868,2,48,train
DHG,LR-maxIter-5,0,2,0.28589108910891087,2,47,train
DHG,LR-maxIter-5,0,2,0.2905236907730673,2,46,train
DHG,LR-maxIter-5,0,2,0.2118226600985221,2,45,train
DHG,LR-maxIter-5,0,2,0.21144278606965172,2,44,train
DHG,LR-maxIter-5,0,2,0.23296158612143747,2,43,train
DHG,LR-maxIter-5,0,2,0.3519206939281288,2,42,train
DHG,LR-maxIter-5,0,2,0.3519206939281288,2,41,train
DHG,LR-maxIter-5,0,2,0.35775335775335776,2,40,train
DHG,LR-maxIter-5,0,2,0.3643122676579925,2,39,train
DHG,LR-maxIter-5,0,2,0.3502475247524752,2,38,train
DHG,LR-maxIter-5,0,2,0.3734643734643735,2,37,train
DHG,LR-maxIter-5,0,2,0.4173913043478261,2,36,train
DHG,LR-maxIter-5,0,2,0.36476426799007444,2,17,train
DHG,LR-maxIter-5,0,2,0.26452410383189123,2,51,train
DHG,LR-maxIter-5,0,2,0.3600493218249076,2,16,train
DHG,LR-maxIter-5,0,2,0.38376383763837646,2,14,train
DHG,LR-maxIter-5,0,1,0.2155388471177945,2,150,test
DHG,LR-maxIter-5,0,1,0.21065675340768283,2,149,test
DHG,LR-maxIter-5,0,1,0.20426065162907267,2,148,test
DHG,LR-maxIter-5,0,1,0.21875,2,147,test
DHG,LR-maxIter-5,0,1,0.23493234932349327,2,146,test
DHG,LR-maxIter-5,0,1,0.21125000000000005,2,145,test
DHG,LR-maxIter-5,0,1,0.22665006226650072,2,151,test
DHG,LR-maxIter-5,0,1,0.24504950495049507,2,144,test
DHG,LR-maxIter-5,0,1,0.4723247232472325,2,142,test
DHG,LR-maxIter-5,0,1,0.2743142144638405,2,141,test
DHG,LR-maxIter-5,0,1,0.22732919254658387,2,140,test
