dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,LR-maxIter-10,0,0,15260.905,train,LR,maxIter,10
DHG,LR-maxIter-10,0,1,15058.429999999997,train,LR,maxIter,10
DHG,LR-maxIter-10,0,2,14862.97,train,LR,maxIter,10
DHG,LR-maxIter-10,0,0,3470.93,test,LR,maxIter,10
DHG,LR-maxIter-10,0,1,3445.78,test,LR,maxIter,10
DHG,LR-maxIter-10,0,2,3315.63,test,LR,maxIter,10
DHG,LR-maxIter-100,0,0,14820.37,train,LR,maxIter,100
DHG,LR-maxIter-100,0,1,15068.55,train,LR,maxIter,100
DHG,LR-maxIter-100,0,2,14798.81,train,LR,maxIter,100
DHG,LR-maxIter-100,0,0,3382.55,test,LR,maxIter,100
DHG,LR-maxIter-100,0,1,3429.465,test,LR,maxIter,100
DHG,LR-maxIter-100,0,2,3534.85,test,LR,maxIter,100
DHG,LR-maxIter-15,0,0,14473.065,train,LR,maxIter,15
DHG,LR-maxIter-15,0,1,14289.99,train,LR,maxIter,15
DHG,LR-maxIter-15,0,2,15017.64,train,LR,maxIter,15
DHG,LR-maxIter-15,0,0,3456.67,test,LR,maxIter,15
DHG,LR-maxIter-15,0,1,3438.51,test,LR,maxIter,15
DHG,LR-maxIter-15,0,2,3398.07,test,LR,maxIter,15
DHG,LR-maxIter-20,0,0,14580.559999999998,train,LR,maxIter,20
DHG,LR-maxIter-20,0,1,15088.87,train,LR,maxIter,20
DHG,LR-maxIter-20,0,2,14655.655,train,LR,maxIter,20
DHG,LR-maxIter-20,0,0,3430.2700000000004,test,LR,maxIter,20
DHG,LR-maxIter-20,0,1,3576.16,test,LR,maxIter,20
DHG,LR-maxIter-20,0,2,3504.13,test,LR,maxIter,20
DHG,LR-maxIter-5,0,0,14508.63,train,LR,maxIter,5
DHG,LR-maxIter-5,0,1,14365.72,train,LR,maxIter,5
DHG,LR-maxIter-5,0,2,14490.250000000002,train,LR,maxIter,5
DHG,LR-maxIter-5,0,0,3189.7599999999993,test,LR,maxIter,5
DHG,LR-maxIter-5,0,1,3310.875,test,LR,maxIter,5
DHG,LR-maxIter-5,0,2,3397.5000000000005,test,LR,maxIter,5
DHG,LR-maxIter-50,0,0,15314.03,train,LR,maxIter,50
DHG,LR-maxIter-50,0,1,14410.59,train,LR,maxIter,50
DHG,LR-maxIter-50,0,2,14527.79,train,LR,maxIter,50
DHG,LR-maxIter-50,0,0,3522.325000000001,test,LR,maxIter,50
DHG,LR-maxIter-50,0,1,3468.685,test,LR,maxIter,50
DHG,LR-maxIter-50,0,2,3417.4,test,LR,maxIter,50
DHG,LR-tol-0.0001,0,0,14662.34,train,LR,tol,0.0001
DHG,LR-tol-0.0001,0,1,14379.51,train,LR,tol,0.0001
DHG,LR-tol-0.0001,0,2,14527.419999999998,train,LR,tol,0.0001
DHG,LR-tol-0.0001,0,0,3593.2499999999995,test,LR,tol,0.0001
DHG,LR-tol-0.0001,0,1,3492.49,test,LR,tol,0.0001
DHG,LR-tol-0.0001,0,2,3831.55,test,LR,tol,0.0001
DHG,LR-tol-0.01,0,0,14908.43,train,LR,tol,0.01
DHG,LR-tol-0.01,0,1,13947.82,train,LR,tol,0.01
DHG,LR-tol-0.01,0,2,13612.305,train,LR,tol,0.01
DHG,LR-tol-0.01,0,0,3489.39,test,LR,tol,0.01
DHG,LR-tol-0.01,0,1,3206.1149999999993,test,LR,tol,0.01
DHG,LR-tol-0.01,0,2,3377.925,test,LR,tol,0.01
DHG,LR-tol-0.1,0,0,13674.335,train,LR,tol,0.1
DHG,LR-tol-0.1,0,1,14340.795000000002,train,LR,tol,0.1
DHG,LR-tol-0.1,0,2,14340.49,train,LR,tol,0.1
DHG,LR-tol-0.1,0,0,3196.65,test,LR,tol,0.1
DHG,LR-tol-0.1,0,1,3291.45,test,LR,tol,0.1
DHG,LR-tol-0.1,0,2,3346.515,test,LR,tol,0.1
DHG,LR-tol-1e-06,0,0,12614.445,train,LR,tol,1e-06
DHG,LR-tol-1e-06,0,1,13240.980000000005,train,LR,tol,1e-06
DHG,LR-tol-1e-06,0,2,13391.38,train,LR,tol,1e-06
DHG,LR-tol-1e-06,0,0,3017.8749999999995,test,LR,tol,1e-06
DHG,LR-tol-1e-06,0,1,3110.7300000000005,test,LR,tol,1e-06
DHG,LR-tol-1e-06,0,2,3104.385000000001,test,LR,tol,1e-06
