dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DHG,LR-maxIter-50,0,0,65451572,6228728,0,0,train
DHG,LR-maxIter-5,0,2,65451544,3463876,2,31,train
DHG,LR-maxIter-5,0,2,65451544,3464512,2,30,train
DHG,LR-maxIter-5,0,2,65451544,3476292,2,29,train
DHG,LR-maxIter-5,0,2,65451544,3480864,2,28,train
DHG,LR-maxIter-5,0,2,65451544,3484976,2,27,train
DHG,LR-maxIter-5,0,2,65451544,3485576,2,26,train
DHG,LR-maxIter-5,0,2,65451544,3458084,2,32,train
DHG,LR-maxIter-5,0,2,65451544,3491668,2,25,train
DHG,LR-maxIter-5,0,2,65451544,3507012,2,23,train
DHG,LR-maxIter-5,0,2,65451544,3508600,2,22,train
DHG,LR-maxIter-5,0,2,65451544,3513660,2,21,train
DHG,LR-maxIter-5,0,2,65451544,3515056,2,20,train
DHG,LR-maxIter-5,0,2,65451544,3514616,2,19,train
DHG,LR-maxIter-5,0,2,65451544,3519880,2,18,train
DHG,LR-maxIter-5,0,2,65451544,3506760,2,24,train
DHG,LR-maxIter-5,0,2,65451544,3448076,2,33,train
DHG,LR-maxIter-5,0,2,65451544,3447924,2,34,train
DHG,LR-maxIter-5,0,2,65451544,3445588,2,35,train
DHG,LR-maxIter-5,0,2,65451544,3417024,2,50,train
DHG,LR-maxIter-5,0,2,65451544,3412880,2,49,train
DHG,LR-maxIter-5,0,2,65451544,3413640,2,48,train
DHG,LR-maxIter-5,0,2,65451544,3418280,2,47,train
DHG,LR-maxIter-5,0,2,65451544,3419932,2,46,train
DHG,LR-maxIter-5,0,2,65451544,3420884,2,45,train
DHG,LR-maxIter-5,0,2,65451544,3427924,2,44,train
DHG,LR-maxIter-5,0,2,65451544,3430656,2,43,train
DHG,LR-maxIter-5,0,2,65451544,3432340,2,42,train
DHG,LR-maxIter-5,0,2,65451544,3433088,2,41,train
DHG,LR-maxIter-5,0,2,65451544,3433748,2,40,train
DHG,LR-maxIter-5,0,2,65451544,3434068,2,39,train
DHG,LR-maxIter-5,0,2,65451544,3439100,2,38,train
DHG,LR-maxIter-5,0,2,65451544,3443452,2,37,train
DHG,LR-maxIter-5,0,2,65451544,3444012,2,36,train
DHG,LR-maxIter-5,0,2,65451544,3520248,2,17,train
DHG,LR-maxIter-5,0,2,65451544,3417096,2,51,train
DHG,LR-maxIter-5,0,2,65451544,3521436,2,16,train
DHG,LR-maxIter-5,0,2,65451544,3524004,2,14,train
DHG,LR-maxIter-5,0,1,65451544,2828732,2,150,test
DHG,LR-maxIter-5,0,1,65451544,2829172,2,149,test
DHG,LR-maxIter-5,0,1,65451544,2829636,2,148,test
DHG,LR-maxIter-5,0,1,65451544,2830112,2,147,test
DHG,LR-maxIter-5,0,1,65451544,2829984,2,146,test
DHG,LR-maxIter-5,0,1,65451544,2829724,2,145,test
DHG,LR-maxIter-5,0,1,65451544,2828804,2,151,test
DHG,LR-maxIter-5,0,1,65451544,2829564,2,144,test
DHG,LR-maxIter-5,0,1,65451544,2831980,2,142,test
DHG,LR-maxIter-5,0,1,65451544,2832764,2,141,test
DHG,LR-maxIter-5,0,1,65451544,2832192,2,140,test
DHG,LR-maxIter-5,0,1,65451544,2832432,2,139,test
DHG,LR-maxIter-5,0,1,65451544,2832080,2,138,test
DHG,LR-maxIter-5,0,1,65451544,2831668,2,137,test
DHG,LR-maxIter-5,0,1,65451544,2829984,2,143,test
DHG,LR-maxIter-5,0,1,65451544,2829220,2,152,test
DHG,LR-maxIter-5,0,1,65451544,2829784,2,153,test
DHG,LR-maxIter-5,0,1,65451544,2830260,2,154,test
DHG,LR-maxIter-5,0,2,65451544,3527348,2,13,train
DHG,LR-maxIter-5,0,2,65451544,3529220,2,12,train
DHG,LR-maxIter-5,0,2,65451544,3521364,2,11,train
DHG,LR-maxIter-5,0,2,65451544,4063372,2,10,train
DHG,LR-maxIter-5,0,2,65451544,4161544,2,9,train
DHG,LR-maxIter-5,0,2,65451544,4512840,2,8,train
DHG,LR-maxIter-5,0,2,65451544,4797172,2,7,train
DHG,LR-maxIter-5,0,2,65451544,4972856,2,6,train
DHG,LR-maxIter-5,0,2,65451544,5059252,2,5,train
DHG,LR-maxIter-5,0,2,65451544,5058172,2,4,train
DHG,LR-maxIter-5,0,2,65451544,5056640,2,3,train
DHG,LR-maxIter-5,0,2,65451544,5147000,2,2,train
DHG,LR-maxIter-5,0,2,65451544,5434388,2,1,train
DHG,LR-maxIter-5,0,2,65451544,5434152,2,0,train
DHG,LR-maxIter-5,0,1,65451544,2830448,2,155,test
DHG,LR-maxIter-5,0,2,65451544,3523804,2,15,train
DHG,LR-maxIter-5,0,1,65451544,2831076,2,136,test
DHG,LR-maxIter-5,0,2,65451544,3426512,2,52,train
DHG,LR-maxIter-5,0,2,65451544,3426996,2,54,train
DHG,LR-maxIter-5,0,2,65451544,2793184,2,105,train
DHG,LR-maxIter-5,0,2,65451544,2793488,2,104,train
DHG,LR-maxIter-5,0,2,65451544,2793276,2,103,train
DHG,LR-maxIter-5,0,2,65451544,2793572,2,102,train
DHG,LR-maxIter-5,0,2,65451544,2794224,2,101,train
DHG,LR-maxIter-5,0,2,65451544,2794636,2,100,train
DHG,LR-maxIter-5,0,2,65451544,2792840,2,106,train
DHG,LR-maxIter-5,0,2,65451544,2796252,2,99,train
DHG,LR-maxIter-5,0,2,65451544,2798032,2,97,train
DHG,LR-maxIter-5,0,2,65451544,2833248,2,96,train
DHG,LR-maxIter-5,0,2,65451544,2832824,2,95,train
DHG,LR-maxIter-5,0,2,65451544,2838884,2,94,train
DHG,LR-maxIter-5,0,2,65451544,2839452,2,93,train
DHG,LR-maxIter-5,0,2,65451544,2839452,2,92,train
DHG,LR-maxIter-5,0,2,65451544,2797516,2,98,train
DHG,LR-maxIter-5,0,2,65451544,2792760,2,107,train
DHG,LR-maxIter-5,0,2,65451544,2794056,2,108,train
DHG,LR-maxIter-5,0,2,65451544,2793860,2,109,train
DHG,LR-maxIter-5,0,2,65451544,2773536,2,124,train
DHG,LR-maxIter-5,0,2,65451544,2773676,2,123,train
DHG,LR-maxIter-5,0,2,65451544,2773376,2,122,train
DHG,LR-maxIter-5,0,2,65451544,2773960,2,121,train
DHG,LR-maxIter-5,0,2,65451544,2774500,2,120,train
DHG,LR-maxIter-5,0,2,65451544,2793020,2,119,train
DHG,LR-maxIter-5,0,2,65451544,2793684,2,118,train
DHG,LR-maxIter-5,0,2,65451544,2793584,2,117,train
DHG,LR-maxIter-5,0,2,65451544,2794512,2,116,train
DHG,LR-maxIter-5,0,2,65451544,2793644,2,115,train
DHG,LR-maxIter-5,0,2,65451544,2794484,2,114,train
DHG,LR-maxIter-5,0,2,65451544,2794668,2,113,train
DHG,LR-maxIter-5,0,2,65451544,2795164,2,112,train
DHG,LR-maxIter-5,0,2,65451544,2794504,2,111,train
DHG,LR-maxIter-5,0,2,65451544,2794888,2,110,train
DHG,LR-maxIter-5,0,2,65451544,2838928,2,91,train
DHG,LR-maxIter-5,0,2,65451544,3427304,2,53,train
DHG,LR-maxIter-5,0,2,65451544,2839924,2,90,train
DHG,LR-maxIter-5,0,2,65451544,2840116,2,88,train
DHG,LR-maxIter-5,0,2,65451544,3292832,2,68,train
DHG,LR-maxIter-5,0,2,65451544,3304784,2,67,train
DHG,LR-maxIter-5,0,2,65451544,3299392,2,66,train
DHG,LR-maxIter-5,0,2,65451544,3299236,2,65,train
DHG,LR-maxIter-5,0,2,65451544,3439336,2,64,train
DHG,LR-maxIter-5,0,2,65451544,3470328,2,63,train
DHG,LR-maxIter-5,0,2,65451544,3164740,2,69,train
DHG,LR-maxIter-5,0,2,65451544,3470644,2,62,train
DHG,LR-maxIter-5,0,2,65451544,3461200,2,60,train
DHG,LR-maxIter-5,0,2,65451544,3459592,2,59,train
DHG,LR-maxIter-5,0,2,65451544,3451188,2,58,train
DHG,LR-maxIter-5,0,2,65451544,3448348,2,57,train
DHG,LR-maxIter-5,0,2,65451544,3438648,2,56,train
DHG,LR-maxIter-5,0,2,65451544,3437972,2,55,train
DHG,LR-maxIter-5,0,2,65451544,3469608,2,61,train
DHG,LR-maxIter-5,0,2,65451544,3165152,2,70,train
DHG,LR-maxIter-5,0,2,65451544,3164676,2,71,train
DHG,LR-maxIter-5,0,2,65451544,3150164,2,72,train
DHG,LR-maxIter-5,0,2,65451544,2840336,2,87,train
DHG,LR-maxIter-5,0,2,65451544,2840304,2,86,train
DHG,LR-maxIter-5,0,2,65451544,2841128,2,85,train
DHG,LR-maxIter-5,0,2,65451544,2840904,2,84,train
DHG,LR-maxIter-5,0,2,65451544,2841288,2,83,train
DHG,LR-maxIter-5,0,2,65451544,2842956,2,82,train
DHG,LR-maxIter-5,0,2,65451544,2843344,2,81,train
DHG,LR-maxIter-5,0,2,65451544,2845004,2,80,train
DHG,LR-maxIter-5,0,2,65451544,2848724,2,79,train
DHG,LR-maxIter-5,0,2,65451544,2850176,2,78,train
DHG,LR-maxIter-5,0,2,65451544,2883912,2,77,train
DHG,LR-maxIter-5,0,2,65451544,2890744,2,76,train
DHG,LR-maxIter-5,0,2,65451544,2890892,2,75,train
DHG,LR-maxIter-5,0,2,65451544,3128068,2,74,train
DHG,LR-maxIter-5,0,2,65451544,3129000,2,73,train
DHG,LR-maxIter-5,0,2,65451544,2840056,2,89,train
DHG,LR-maxIter-5,0,2,65451544,2773080,2,125,train
DHG,LR-maxIter-5,0,1,65451544,2831044,2,135,test
DHG,LR-maxIter-5,0,1,65451544,2831428,2,133,test
DHG,LR-maxIter-5,0,1,65451544,3434532,2,39,train
DHG,LR-maxIter-5,0,1,65451544,3443772,2,38,train
DHG,LR-maxIter-5,0,1,65451544,3446020,2,37,train
DHG,LR-maxIter-5,0,1,65451544,3447804,2,36,train
DHG,LR-maxIter-5,0,1,65451544,3455864,2,35,train
DHG,LR-maxIter-5,0,1,65451544,3460536,2,34,train
DHG,LR-maxIter-5,0,1,65451544,3431492,2,40,train
DHG,LR-maxIter-5,0,1,65451544,3461072,2,33,train
DHG,LR-maxIter-5,0,1,65451544,3467628,2,31,train
DHG,LR-maxIter-5,0,1,65451544,3467964,2,30,train
DHG,LR-maxIter-5,0,1,65451544,3469432,2,29,train
DHG,LR-maxIter-5,0,1,65451544,3469312,2,28,train
DHG,LR-maxIter-5,0,1,65451544,3470244,2,27,train
DHG,LR-maxIter-5,0,1,65451544,3471672,2,26,train
DHG,LR-maxIter-5,0,1,65451544,3467152,2,32,train
DHG,LR-maxIter-5,0,1,65451544,3430372,2,41,train
DHG,LR-maxIter-5,0,1,65451544,3426880,2,42,train
DHG,LR-maxIter-5,0,1,65451544,3422888,2,43,train
DHG,LR-maxIter-5,0,1,65451544,3513208,2,58,train
DHG,LR-maxIter-5,0,1,65451544,3500916,2,57,train
DHG,LR-maxIter-5,0,1,65451544,3500132,2,56,train
DHG,LR-maxIter-5,0,1,65451544,3487636,2,55,train
DHG,LR-maxIter-5,0,1,65451544,3485508,2,54,train
DHG,LR-maxIter-5,0,1,65451544,3471280,2,53,train
DHG,LR-maxIter-5,0,1,65451544,3470672,2,52,train
DHG,LR-maxIter-5,0,1,65451544,3469540,2,51,train
DHG,LR-maxIter-5,0,1,65451544,3452516,2,50,train
DHG,LR-maxIter-5,0,1,65451544,3451516,2,49,train
DHG,LR-maxIter-5,0,1,65451544,3435212,2,48,train
DHG,LR-maxIter-5,0,1,65451544,3434396,2,47,train
DHG,LR-maxIter-5,0,1,65451544,3435168,2,46,train
DHG,LR-maxIter-5,0,1,65451544,3420384,2,45,train
DHG,LR-maxIter-5,0,1,65451544,3422192,2,44,train
