dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DHG,LR-maxIter-50,0,0,0,0,0,0,train
DHG,LR-maxIter-5,0,2,39891089,245523,2,31,train
DHG,LR-maxIter-5,0,2,39729829,225775,2,30,train
DHG,LR-maxIter-5,0,2,39708383,246875,2,29,train
DHG,LR-maxIter-5,0,2,39789189,228192,2,28,train
DHG,LR-maxIter-5,0,2,39764283,236215,2,27,train
DHG,LR-maxIter-5,0,2,39734727,230846,2,26,train
DHG,LR-maxIter-5,0,2,39738633,241870,2,32,train
DHG,LR-maxIter-5,0,2,39688116,191859,2,25,train
DHG,LR-maxIter-5,0,2,39960707,155511,2,23,train
DHG,LR-maxIter-5,0,2,40266768,184527,2,22,train
DHG,LR-maxIter-5,0,2,39833875,233160,2,21,train
DHG,LR-maxIter-5,0,2,39802419,207186,2,20,train
DHG,LR-maxIter-5,0,2,39460241,197748,2,19,train
DHG,LR-maxIter-5,0,2,40012809,182536,2,18,train
DHG,LR-maxIter-5,0,2,39896856,141159,2,24,train
DHG,LR-maxIter-5,0,2,39881487,229440,2,33,train
DHG,LR-maxIter-5,0,2,39865525,171787,2,34,train
DHG,LR-maxIter-5,0,2,39165457,197244,2,35,train
DHG,LR-maxIter-5,0,2,39768852,216763,2,50,train
DHG,LR-maxIter-5,0,2,39502651,274112,2,49,train
DHG,LR-maxIter-5,0,2,40290352,214152,2,48,train
DHG,LR-maxIter-5,0,2,39814357,180926,2,47,train
DHG,LR-maxIter-5,0,2,40042458,176103,2,46,train
DHG,LR-maxIter-5,0,2,40066615,229403,2,45,train
DHG,LR-maxIter-5,0,2,39661876,222890,2,44,train
DHG,LR-maxIter-5,0,2,39803804,218012,2,43,train
DHG,LR-maxIter-5,0,2,39972009,128783,2,42,train
DHG,LR-maxIter-5,0,2,39976319,129550,2,41,train
DHG,LR-maxIter-5,0,2,40000077,130447,2,40,train
DHG,LR-maxIter-5,0,2,39967125,131240,2,39,train
DHG,LR-maxIter-5,0,2,39943597,131162,2,38,train
DHG,LR-maxIter-5,0,2,39979861,132111,2,37,train
DHG,LR-maxIter-5,0,2,39685487,126467,2,36,train
DHG,LR-maxIter-5,0,2,40014451,160282,2,17,train
DHG,LR-maxIter-5,0,2,39998147,211151,2,51,train
DHG,LR-maxIter-5,0,2,39978699,145475,2,16,train
DHG,LR-maxIter-5,0,2,39975341,135567,2,14,train
DHG,LR-maxIter-5,0,1,39729802,241558,2,150,test
DHG,LR-maxIter-5,0,1,39704522,229663,2,149,test
DHG,LR-maxIter-5,0,1,39753080,248383,2,148,test
DHG,LR-maxIter-5,0,1,39878828,229026,2,147,test
DHG,LR-maxIter-5,0,1,39724167,236564,2,146,test
DHG,LR-maxIter-5,0,1,39756369,237047,2,145,test
DHG,LR-maxIter-5,0,1,39871533,245355,2,151,test
DHG,LR-maxIter-5,0,1,39713454,227258,2,144,test
DHG,LR-maxIter-5,0,1,25518718,120221,2,142,test
DHG,LR-maxIter-5,0,1,39812189,179314,2,141,test
DHG,LR-maxIter-5,0,1,39853697,210891,2,140,test
DHG,LR-maxIter-5,0,1,39864326,182035,2,139,test
DHG,LR-maxIter-5,0,1,39921880,139207,2,138,test
DHG,LR-maxIter-5,0,1,39845379,164559,2,137,test
DHG,LR-maxIter-5,0,1,39783403,184475,2,143,test
DHG,LR-maxIter-5,0,1,39674996,201271,2,152,test
DHG,LR-maxIter-5,0,1,39719460,209239,2,153,test
DHG,LR-maxIter-5,0,1,39643611,214335,2,154,test
DHG,LR-maxIter-5,0,2,39966315,135907,2,13,train
DHG,LR-maxIter-5,0,2,40010839,158371,2,12,train
DHG,LR-maxIter-5,0,2,40059461,133710,2,11,train
DHG,LR-maxIter-5,0,2,40004857,156499,2,10,train
DHG,LR-maxIter-5,0,2,40010245,182083,2,9,train
DHG,LR-maxIter-5,0,2,26930290,157234,2,8,train
DHG,LR-maxIter-5,0,2,26239,2158,2,7,train
DHG,LR-maxIter-5,0,2,16514303,127278,2,6,train
DHG,LR-maxIter-5,0,2,189,798,2,5,train
DHG,LR-maxIter-5,0,2,95,291,2,4,train
DHG,LR-maxIter-5,0,2,3161,7623,2,3,train
DHG,LR-maxIter-5,0,2,5056,4183,2,2,train
DHG,LR-maxIter-5,0,2,95,291,2,1,train
DHG,LR-maxIter-5,0,2,0,0,2,0,train
DHG,LR-maxIter-5,0,1,39809051,211151,2,155,test
DHG,LR-maxIter-5,0,2,39989401,139651,2,15,train
DHG,LR-maxIter-5,0,1,39762309,230938,2,136,test
DHG,LR-maxIter-5,0,2,39866480,132475,2,52,train
DHG,LR-maxIter-5,0,2,39820105,160711,2,54,train
DHG,LR-maxIter-5,0,2,39796819,220875,2,105,train
DHG,LR-maxIter-5,0,2,39974371,207030,2,104,train
DHG,LR-maxIter-5,0,2,39923995,145356,2,103,train
DHG,LR-maxIter-5,0,2,39869722,164091,2,102,train
DHG,LR-maxIter-5,0,2,39991617,159554,2,101,train
DHG,LR-maxIter-5,0,2,39737353,144175,2,100,train
DHG,LR-maxIter-5,0,2,39708822,210891,2,106,train
DHG,LR-maxIter-5,0,2,24552800,118440,2,99,train
DHG,LR-maxIter-5,0,2,44404316,44179,2,97,train
DHG,LR-maxIter-5,0,2,39731017,39759,2,96,train
DHG,LR-maxIter-5,0,2,13070695,56245,2,95,train
DHG,LR-maxIter-5,0,2,95,291,2,94,train
DHG,LR-maxIter-5,0,2,199,1576,2,93,train
DHG,LR-maxIter-5,0,2,10783940,51566,2,92,train
DHG,LR-maxIter-5,0,2,39617602,49711,2,98,train
DHG,LR-maxIter-5,0,2,39816488,167258,2,107,train
DHG,LR-maxIter-5,0,2,39916663,146985,2,108,train
DHG,LR-maxIter-5,0,2,39847279,140587,2,109,train
DHG,LR-maxIter-5,0,2,39695154,218847,2,124,train
DHG,LR-maxIter-5,0,2,39955204,215759,2,123,train
DHG,LR-maxIter-5,0,2,39709410,228543,2,122,train
DHG,LR-maxIter-5,0,2,39718547,246615,2,121,train
DHG,LR-maxIter-5,0,2,39693023,244275,2,120,train
DHG,LR-maxIter-5,0,2,39718826,252166,2,119,train
DHG,LR-maxIter-5,0,2,39800966,238681,2,118,train
DHG,LR-maxIter-5,0,2,39697718,233355,2,117,train
DHG,LR-maxIter-5,0,2,39681627,234486,2,116,train
DHG,LR-maxIter-5,0,2,39754185,229143,2,115,train
DHG,LR-maxIter-5,0,2,39745990,196123,2,114,train
DHG,LR-maxIter-5,0,2,23759111,156923,2,113,train
DHG,LR-maxIter-5,0,2,39759051,130083,2,112,train
DHG,LR-maxIter-5,0,2,39999972,147899,2,111,train
DHG,LR-maxIter-5,0,2,39896469,142186,2,110,train
DHG,LR-maxIter-5,0,2,43115875,132787,2,91,train
DHG,LR-maxIter-5,0,2,40016035,167146,2,53,train
DHG,LR-maxIter-5,0,2,39976947,132631,2,90,train
DHG,LR-maxIter-5,0,2,39983530,137109,2,88,train
DHG,LR-maxIter-5,0,2,39843140,174842,2,68,train
DHG,LR-maxIter-5,0,2,39787257,228311,2,67,train
DHG,LR-maxIter-5,0,2,39712559,220719,2,66,train
DHG,LR-maxIter-5,0,2,39464525,228246,2,65,train
DHG,LR-maxIter-5,0,2,20560805,134981,2,64,train
DHG,LR-maxIter-5,0,2,37153,9100,2,63,train
DHG,LR-maxIter-5,0,2,39248447,193196,2,69,train
DHG,LR-maxIter-5,0,2,22387369,69706,2,62,train
DHG,LR-maxIter-5,0,2,47583482,213127,2,60,train
DHG,LR-maxIter-5,0,2,47644285,182291,2,59,train
DHG,LR-maxIter-5,0,2,39994264,213228,2,58,train
DHG,LR-maxIter-5,0,2,39983637,136375,2,57,train
DHG,LR-maxIter-5,0,2,40035864,149778,2,56,train
DHG,LR-maxIter-5,0,2,40025674,151663,2,55,train
DHG,LR-maxIter-5,0,2,47640723,231951,2,61,train
DHG,LR-maxIter-5,0,2,39776660,231327,2,70,train
DHG,LR-maxIter-5,0,2,39739503,236582,2,71,train
DHG,LR-maxIter-5,0,2,39750189,230599,2,72,train
DHG,LR-maxIter-5,0,2,39903068,125299,2,87,train
DHG,LR-maxIter-5,0,2,40013789,130330,2,86,train
DHG,LR-maxIter-5,0,2,40084276,139131,2,85,train
DHG,LR-maxIter-5,0,2,39984189,123115,2,84,train
DHG,LR-maxIter-5,0,2,40127494,145358,2,83,train
DHG,LR-maxIter-5,0,2,39879251,130031,2,82,train
DHG,LR-maxIter-5,0,2,39882315,126235,2,81,train
DHG,LR-maxIter-5,0,2,39938727,132514,2,80,train
DHG,LR-maxIter-5,0,2,40005795,171891,2,79,train
DHG,LR-maxIter-5,0,2,24114841,153566,2,78,train
