transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
30722.0,27.0,131882.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,0,DHG,LR,regression,0,,,,,
29063.0,27.0,123925.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,2,DHG,LR,regression,0,,,,,
29541.0,27.0,123759.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,0,,,,,
70331.0,27.0,287514.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,1,,,,,
70597.0,27.0,287504.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,2,DHG,LR,regression,1,,,,,
70393.0,27.0,288150.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,0,DHG,LR,regression,1,,,,,
30832.0,27.0,129581.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,2,,,,,
30856.0,27.0,130286.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,1,DHG,LR,regression,2,,,,,
29353.0,27.0,124240.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,2,,,,,
29951.0,27.0,124884.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,3,,,,,
29759.0,27.0,125509.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.37288048003680585,0.2145120126440545,1,DHG,LR,regression,3,,,,,
29575.0,27.0,127483.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,2,DHG,LR,regression,3,,,,,
29988.0,27.0,125425.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,4,,,,,
29841.0,27.0,126155.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,4,,,,,
29537.0,27.0,125322.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,4,,,,,
35012.0,27.0,154218.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,1,DHG,LR,regression,5,,,,,
37445.0,27.0,155322.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,5,,,,,
37420.0,27.0,154154.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,2,DHG,LR,regression,5,,,,,
32614.0,27.0,136130.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,0,DHG,LR,regression,6,,,,,
32537.0,27.0,140613.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,6,,,,,
32527.0,27.0,134548.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,6,,,,,
27866.0,27.0,125339.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,7,,,,,
28019.0,27.0,124711.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,0,DHG,LR,regression,7,,,,,
31499.0,27.0,127718.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,2,DHG,LR,regression,7,,,,,
28153.0,27.0,118894.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,8,,,,,
28501.0,27.0,117775.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,1,DHG,LR,regression,8,,,,,
28209.0,27.0,118024.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,8,,,,,
52087.0,27.0,215020.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,2,DHG,LR,regression,9,,,,,
52227.0,27.0,215455.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,9,,,,,
51624.0,27.0,214222.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,9,,,,,
42112.0,27.0,173846.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,10,,,,,
41902.0,27.0,172757.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,0,DHG,LR,regression,10,,,,,
42481.0,27.0,176530.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,1,DHG,LR,regression,10,,,,,
35048.0,27.0,145254.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,0,DHG,LR,regression,11,,,,,
34967.0,27.0,149801.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,11,,,,,
35119.0,27.0,146298.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,11,,,,,
30157.0,27.0,127151.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,2,DHG,LR,regression,12,,,,,
29692.0,27.0,125899.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,12,,,,,
29934.0,27.0,126648.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,12,,,,,
35088.0,27.0,145315.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,13,,,,,
35079.0,27.0,144952.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,13,,,,,
35152.0,27.0,143205.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,13,,,,,
34990.0,27.0,144437.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,2,DHG,LR,regression,14,,,,,
34949.0,27.0,144293.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,14,,,,,
33839.0,27.0,141633.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,14,,,,,
29213.0,27.0,120412.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,15,,,,,
29199.0,27.0,120684.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,1,DHG,LR,regression,15,,,,,
29194.0,27.0,119367.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,2,DHG,LR,regression,15,,,,,
28173.0,27.0,118628.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,16,,,,,
28134.0,27.0,117413.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,16,,,,,
28912.0,27.0,118582.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,16,,,,,
29319.0,27.0,124175.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,17,,,,,
29334.0,27.0,123109.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,17,,,,,
29345.0,27.0,124747.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,2,DHG,LR,regression,17,,,,,
28958.0,27.0,123692.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,2,DHG,LR,regression,18,,,,,
29417.0,27.0,123451.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,18,,,,,
29557.0,27.0,124611.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,18,,,,,
29943.0,27.0,126212.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,2,DHG,LR,regression,19,,,,,
30139.0,27.0,128490.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,19,,,,,
29027.0,27.0,123119.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,19,,,,,
29983.0,27.0,128803.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,20,,,,,
29000.0,27.0,123147.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,20,,,,,
28974.0,27.0,124028.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,20,,,,,
28774.0,27.0,121560.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,21,,,,,
29270.0,27.0,123616.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,2,DHG,LR,regression,21,,,,,
29136.0,27.0,123404.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,21,,,,,
29644.0,27.0,125125.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,22,,,,,
29507.0,27.0,124810.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,22,,,,,
29566.0,27.0,125755.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,22,,,,,
29102.0,27.0,123335.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440545,2,DHG,LR,regression,23,,,,,
29306.0,27.0,124152.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,23,,,,,
29808.0,27.0,124740.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,23,,,,,
29923.0,27.0,127596.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,24,,,,,
30008.0,27.0,125863.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,24,,,,,
30348.0,27.0,126776.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,24,,,,,
29452.0,27.0,127988.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,2,DHG,LR,regression,25,,,,,
29991.0,27.0,125909.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440545,0,DHG,LR,regression,25,,,,,
30420.0,27.0,129365.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,25,,,,,
29551.0,27.0,126205.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,1,DHG,LR,regression,26,,,,,
29800.0,27.0,125222.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,0,DHG,LR,regression,26,,,,,
30928.0,27.0,130220.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,26,,,,,
30363.0,27.0,129998.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,2,DHG,LR,regression,27,,,,,
29675.0,27.0,125766.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,27,,,,,
30717.0,27.0,128455.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,27,,,,,
29846.0,27.0,129374.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.3728804800368059,0.2145120126440544,1,DHG,LR,regression,28,,,,,
29778.0,27.0,127768.0,2197354.0,8802646.0,0.5007164305087484,0.2507169437814223,0.372880480036806,0.2145120126440544,0,DHG,LR,regression,28,,,,,
