dataset,algorithm,platformId,runId,Energy,phase
DHG,LR,0,2,21449.27,train
DHG,LR,0,1,21601.5,train
DHG,LR,0,0,22898.64,train
DHG,LR,0,0,3450.66,test
DHG,LR,0,1,3330.9400000000005,test
DHG,LR,0,2,3222.9300000000003,test
DHG,LR,1,0,31155.54,train
DHG,LR,1,1,7995.965000000002,test
DHG,LR,1,0,7536.360000000001,test
DHG,LR,1,2,8173.4000000000015,test
DHG,LR,1,1,33442.71,train
DHG,LR,1,2,33926.405,train
DHG,LR,2,1,9241.229999999998,train
DHG,LR,2,2,13137.175000000001,train
DHG,LR,2,0,2146.115,test
DHG,LR,2,0,9254.955,train
DHG,LR,2,1,2130.85,test
DHG,LR,2,2,3102.9000000000005,test
DHG,LR,3,2,2010.905,test
DHG,LR,3,1,1988.96,test
DHG,LR,3,1,8829.890000000001,train
DHG,LR,3,2,8695.529999999997,train
DHG,LR,3,0,8597.71,train
DHG,LR,3,0,2064.77,test
DHG,LR,4,1,8883.114999999998,train
DHG,LR,4,2,8965.379999999997,train
DHG,LR,4,0,14901.255000000001,train
DHG,LR,4,0,3496.5,test
DHG,LR,4,1,2110.6400000000003,test
DHG,LR,4,2,2005.4849999999994,test
DHG,LR,5,1,4046.49,test
DHG,LR,5,0,4474.759999999999,test
DHG,LR,5,1,17205.42,train
DHG,LR,5,2,18074.475000000002,train
DHG,LR,5,0,17282.435,train
DHG,LR,5,2,4155.005,test
DHG,LR,6,1,15852.384999999998,train
DHG,LR,6,2,15612.3,train
DHG,LR,6,1,3530.265,test
DHG,LR,6,2,2978.4849999999997,test
DHG,LR,6,0,3501.0849999999996,test
DHG,LR,6,0,15312.4,train
DHG,LR,7,2,14479.335000000001,train
DHG,LR,7,1,2477.54,test
DHG,LR,7,0,1793.405,test
DHG,LR,7,0,12489.565000000002,train
DHG,LR,7,1,12353.79,train
DHG,LR,7,2,3580.0799999999995,test
DHG,LR,8,2,11979.775,train
DHG,LR,8,1,11895.525000000001,train
DHG,LR,8,2,2646.835,test
DHG,LR,8,1,2885.26,test
DHG,LR,8,0,2961.3600000000006,test
DHG,LR,8,0,12905.3,train
DHG,LR,9,2,5149.01,test
DHG,LR,9,0,4772.45,test
DHG,LR,9,1,5021.32,test
DHG,LR,9,0,20109.89,train
DHG,LR,9,1,21517.67,train
DHG,LR,9,2,22008.1,train
DHG,LR,10,2,4604.3499999999985,test
DHG,LR,10,1,20081.52,train
DHG,LR,10,2,18109.44,train
DHG,LR,10,1,4794.769999999999,test
DHG,LR,10,0,4375.879999999999,test
DHG,LR,10,0,19023.690000000002,train
DHG,LR,11,0,3624.5999999999995,test
DHG,LR,11,2,3162.3099999999995,test
DHG,LR,11,1,2631.5,test
DHG,LR,11,1,15725.029999999999,train
DHG,LR,11,0,15169.31,train
DHG,LR,11,2,14986.015000000001,train
DHG,LR,12,1,2893.67,test
DHG,LR,12,1,13413.039999999999,train
DHG,LR,12,0,12852.39,train
DHG,LR,12,2,3461.5649999999996,test
DHG,LR,12,2,14715.330000000004,train
DHG,LR,12,0,2547.225,test
DHG,LR,13,1,3592.58,test
DHG,LR,13,2,4122.77,test
DHG,LR,13,0,16903.690000000002,train
DHG,LR,13,1,16213.74,train
DHG,LR,13,2,15352.96,train
DHG,LR,13,0,3562.2800000000007,test
DHG,LR,14,1,15823.645,train
DHG,LR,14,2,15338.23,train
DHG,LR,14,2,3423.2599999999998,test
DHG,LR,14,0,3716.3100000000004,test
DHG,LR,14,0,16695.065000000002,train
DHG,LR,14,1,3761.3600000000006,test
DHG,LR,15,0,3480.0099999999998,test
DHG,LR,15,1,13021.255000000001,train
DHG,LR,15,2,10083.04,train
DHG,LR,15,2,2254.2099999999996,test
DHG,LR,15,1,3011.0600000000004,test
DHG,LR,15,0,12353.970000000001,train
DHG,LR,16,2,2348.32,test
DHG,LR,16,1,2276.21,test
DHG,LR,16,2,10219.1,train
DHG,LR,16,1,10121.72,train
DHG,LR,16,0,9899.76,train
DHG,LR,16,0,2279.465,test
DHG,LR,17,1,21720.985,train
DHG,LR,17,2,3317.6800000000003,test
DHG,LR,17,1,3309.9100000000003,test
DHG,LR,17,2,21807.91,train
DHG,LR,17,0,21402.840000000004,train
DHG,LR,17,0,3236.4700000000003,test
DHG,LR,18,0,20843.274999999998,train
DHG,LR,18,0,3205.175,test
DHG,LR,18,1,3349.9700000000003,test
DHG,LR,18,1,21661.440000000002,train
DHG,LR,18,2,21498.46,train
DHG,LR,18,2,3186.84,test
DHG,LR,19,2,21932.2,train
DHG,LR,19,2,3349.5450000000005,test
DHG,LR,19,1,3368.1600000000003,test
DHG,LR,19,1,22613.510000000002,train
DHG,LR,19,0,21773.329999999998,train
DHG,LR,19,0,3224.3350000000005,test
DHG,LR,20,0,21477.73,train
DHG,LR,20,2,3437.129999999999,test
DHG,LR,20,1,3228.985,test
DHG,LR,20,2,22408.15,train
DHG,LR,20,1,21421.82,train
DHG,LR,20,0,3314.2149999999997,test
DHG,LR,21,1,3344.04,test
DHG,LR,21,0,3281.4850000000006,test
DHG,LR,21,0,20937.97,train
DHG,LR,21,2,3058.76,test
DHG,LR,21,1,21615.235,train
DHG,LR,21,2,21613.605000000003,train
DHG,LR,22,2,3099.9300000000007,test
DHG,LR,22,1,22138.64,train
DHG,LR,22,0,21939.13,train
DHG,LR,22,2,21940.42,train
DHG,LR,22,1,3051.495000000001,test
DHG,LR,22,0,3113.919999999999,test
DHG,LR,23,1,21853.58,train
DHG,LR,23,0,21460.364999999998,train
DHG,LR,23,2,3156.670000000001,test
DHG,LR,23,0,3322.8949999999995,test
DHG,LR,23,2,21719.275,train
DHG,LR,23,1,3196.71,test
DHG,LR,24,1,3354.8399999999997,test
DHG,LR,24,0,3194.065,test
DHG,LR,24,0,21949.004999999997,train
DHG,LR,24,1,22356.5,train
DHG,LR,24,2,22370.425,train
DHG,LR,24,2,3272.6500000000005,test
DHG,LR,25,2,22004.824999999997,train
DHG,LR,25,1,3466.3199999999997,test
DHG,LR,25,0,22064.09,train
DHG,LR,25,2,3236.6399999999994,test
DHG,LR,25,0,3244.7800000000007,test
DHG,LR,25,1,22482.635,train
DHG,LR,26,0,3367.92,test
DHG,LR,26,0,21791.51,train
DHG,LR,26,1,21331.39,train
DHG,LR,26,2,22252.86,train
DHG,LR,26,2,3512.41,test
DHG,LR,26,1,3375.5899999999997,test
DHG,LR,27,0,3383.835,test
DHG,LR,27,1,22043.81,train
DHG,LR,27,0,21701.690000000002,train
DHG,LR,27,1,3456.2849999999994,test
DHG,LR,27,2,3351.42,test
DHG,LR,27,2,22346.079999999998,train
DHG,LR,28,2,22478.010000000002,train
DHG,LR,28,1,22983.85,train
DHG,LR,28,0,22765.54,train
DHG,LR,28,2,3327.63,test
DHG,LR,28,1,3394.124999999999,test
DHG,LR,28,0,3373.319999999999,test
DHG,LR,29,2,22011.77,train
DHG,LR,29,1,22501.455,train
DHG,LR,29,0,3691.2999999999997,test
DHG,LR,29,0,22573.895,train
DHG,LR,29,2,3371.3800000000006,test
DHG,LR,29,1,3353.33,test
DHG,LR,30,2,3270.5299999999997,test
DHG,LR,30,2,21749.875,train
DHG,LR,30,1,3346.41,test
DHG,LR,30,0,3477.59,test
DHG,LR,30,1,23023.11,train
DHG,LR,30,0,22703.36,train
DHG,LR,31,1,22483.690000000002,train
DHG,LR,31,2,3265.9200000000005,test
DHG,LR,31,0,21518.23,train
DHG,LR,31,0,3254.9399999999996,test
DHG,LR,31,2,22601.019999999997,train
DHG,LR,31,1,3346.7500000000005,test
DHG,LR,32,0,21678.72,train
DHG,LR,32,1,22039.52,train
DHG,LR,32,0,3240.0749999999994,test
DHG,LR,32,1,3356.34,test
DHG,LR,32,2,3352.3149999999996,test
DHG,LR,32,2,22199.27,train
