dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DHG,LR,0,1,39532703,202860,2,76,train
DHG,LR,0,2,39664527,216510,2,150,test
DHG,LR,0,2,39730601,227845,2,151,test
DHG,LR,0,2,39711377,224046,2,152,test
DHG,LR,0,2,39651675,222173,0,152,test
DHG,LR,0,2,39677453,234763,0,151,test
DHG,LR,0,2,39710353,191649,0,150,test
DHG,LR,0,2,39824348,175425,0,149,test
DHG,LR,0,2,39798075,239631,0,148,test
DHG,LR,0,2,39669607,216766,2,149,test
DHG,LR,0,2,39717786,238449,0,147,test
DHG,LR,0,2,39760077,243895,0,145,test
DHG,LR,0,2,39695508,259598,0,144,test
DHG,LR,0,2,44087345,258848,0,143,test
DHG,LR,0,2,26322753,163029,0,142,test
DHG,LR,0,2,39694873,217389,0,141,test
DHG,LR,0,2,39688995,249898,0,140,test
DHG,LR,0,2,39694367,242439,0,139,test
DHG,LR,0,2,39835243,213333,0,138,test
DHG,LR,0,2,39787707,242906,0,146,test
DHG,LR,0,2,39779992,240581,0,137,test
DHG,LR,0,2,39734128,223097,2,148,test
DHG,LR,0,2,39797257,222315,2,146,test
DHG,LR,0,2,14370246,129191,2,128,test
DHG,LR,0,2,39744512,214998,2,129,test
DHG,LR,0,2,39678737,218365,2,130,test
DHG,LR,0,2,40107297,165739,2,131,test
DHG,LR,0,2,39904126,137778,2,132,test
DHG,LR,0,2,39954375,134853,2,133,test
DHG,LR,0,2,39930537,141158,2,134,test
DHG,LR,0,2,39921713,144627,2,135,test
DHG,LR,0,2,39784061,229870,2,147,test
DHG,LR,0,2,40048306,142397,2,136,test
DHG,LR,0,2,39984218,176750,2,138,test
DHG,LR,0,2,39742703,133955,2,139,test
DHG,LR,0,2,39813713,146589,2,140,test
DHG,LR,0,2,39770557,175998,2,141,test
DHG,LR,0,2,24227545,143630,2,142,test
DHG,LR,0,2,40029782,178078,2,143,test
DHG,LR,0,2,39903473,171630,2,144,test
DHG,LR,0,2,39828617,190634,2,145,test
DHG,LR,0,2,39756731,188478,2,137,test
DHG,LR,0,2,189,797,2,127,test
DHG,LR,0,2,39664642,252423,0,136,test
DHG,LR,0,2,39690368,256426,0,134,test
DHG,LR,0,2,25754964,174972,0,111,train
DHG,LR,0,2,39720219,228985,0,110,train
DHG,LR,0,2,39675773,231083,0,109,train
DHG,LR,0,2,39679361,189881,0,108,train
DHG,LR,0,2,39818109,214901,0,107,train
DHG,LR,0,2,39646821,235383,0,106,train
DHG,LR,0,2,39722320,213853,0,105,train
DHG,LR,0,2,39798210,211654,0,104,train
DHG,LR,0,2,48105647,208693,0,112,train
DHG,LR,0,2,39673449,238227,0,103,train
DHG,LR,0,2,39827877,233442,0,101,train
DHG,LR,0,2,39808869,165791,0,100,train
DHG,LR,0,2,40257322,188477,0,99,train
DHG,LR,0,2,39166464,196693,0,98,train
DHG,LR,0,2,5700518,60254,0,97,train
DHG,LR,0,2,95,289,0,96,train
DHG,LR,0,2,95,289,0,95,train
DHG,LR,0,2,46448,25709,0,94,train
DHG,LR,0,2,39673916,225553,0,102,train
DHG,LR,0,2,39647378,230093,0,135,test
DHG,LR,0,2,39831421,221341,0,113,train
DHG,LR,0,2,39693559,244051,0,115,train
DHG,LR,0,2,39779980,248471,0,133,test
DHG,LR,0,2,39685394,262577,0,132,test
DHG,LR,0,2,39660490,246650,0,131,test
DHG,LR,0,2,39666389,252631,0,130,test
DHG,LR,0,2,39702863,246509,0,129,test
DHG,LR,0,2,4141949,79905,0,128,test
DHG,LR,0,2,189,795,0,127,test
DHG,LR,0,2,147,4127,0,126,test
DHG,LR,0,2,39664130,190594,0,114,train
DHG,LR,0,2,20431389,117342,0,125,test
DHG,LR,0,2,39637811,232885,0,123,train
DHG,LR,0,2,39629418,216397,0,122,train
DHG,LR,0,2,39703729,223563,0,121,train
DHG,LR,0,2,39761655,238833,0,120,train
DHG,LR,0,2,39675965,236421,0,119,train
DHG,LR,0,2,39628363,246183,0,118,train
DHG,LR,0,2,39706011,251709,0,117,train
DHG,LR,0,2,39755946,226890,0,116,train
DHG,LR,0,2,39821069,238752,0,124,test
DHG,LR,0,2,95,289,0,93,train
DHG,LR,0,2,95,290,2,126,test
DHG,LR,0,2,39734213,226113,2,124,test
DHG,LR,0,2,95,290,2,62,train
DHG,LR,0,2,18288065,104463,2,63,train
DHG,LR,0,2,39276628,151493,2,64,train
DHG,LR,0,2,39831886,200007,2,65,train
DHG,LR,0,2,39685309,213126,2,66,train
DHG,LR,0,2,39808938,208901,2,67,train
DHG,LR,0,2,40047634,135958,2,68,train
DHG,LR,0,2,39292919,186210,2,69,train
DHG,LR,0,2,6333762,45133,2,61,train
DHG,LR,0,2,39688019,251189,2,70,train
DHG,LR,0,2,39865709,187542,2,72,train
DHG,LR,0,2,40005596,134905,2,73,train
DHG,LR,0,2,38152793,174230,2,74,train
DHG,LR,0,2,39968273,142047,2,75,train
DHG,LR,0,2,39857085,144473,2,76,train
DHG,LR,0,2,23143881,152755,2,77,train
DHG,LR,0,2,39725197,199554,2,78,train
DHG,LR,0,2,39701423,222837,2,79,train
DHG,LR,0,2,39629432,238363,2,71,train
DHG,LR,0,2,39778685,227114,2,80,train
DHG,LR,0,2,40193762,241154,2,60,train
DHG,LR,0,2,39690129,225073,2,58,train
DHG,LR,0,2,43562906,138753,2,40,train
DHG,LR,0,2,43325693,207250,2,41,train
DHG,LR,0,2,43347068,240411,2,42,train
DHG,LR,0,2,43306019,248889,2,43,train
DHG,LR,0,2,40832985,217974,2,44,train
DHG,LR,0,2,39801061,225515,2,45,train
DHG,LR,0,2,39782725,218833,2,46,train
DHG,LR,0,2,39612943,275507,2,47,train
DHG,LR,0,2,39763979,242378,2,59,train
DHG,LR,0,2,39704855,239958,2,48,train
DHG,LR,0,2,39686003,245678,2,50,train
DHG,LR,0,2,39746938,237826,2,51,train
DHG,LR,0,2,39946653,235889,2,52,train
DHG,LR,0,2,39732136,254726,2,53,train
DHG,LR,0,2,39623441,234190,2,54,train
DHG,LR,0,2,39703387,231066,2,55,train
DHG,LR,0,2,39768797,218987,2,56,train
DHG,LR,0,2,39909445,231990,2,57,train
DHG,LR,0,2,39733364,251125,2,49,train
DHG,LR,0,2,26394811,172531,2,125,test
DHG,LR,0,2,39659413,233226,2,81,train
DHG,LR,0,2,39727759,245782,2,83,train
DHG,LR,0,2,39776229,167897,2,106,train
DHG,LR,0,2,40034785,172098,2,107,train
DHG,LR,0,2,39914401,141418,2,108,train
DHG,LR,0,2,39888143,189973,2,109,train
DHG,LR,0,2,39812107,185306,2,110,train
DHG,LR,0,2,22451770,139443,2,111,train
DHG,LR,0,2,39686393,164285,2,112,train
DHG,LR,0,2,39684385,254778,2,113,train
DHG,LR,0,2,39863865,155495,2,105,train
DHG,LR,0,2,39785913,229402,2,114,train
DHG,LR,0,2,40043797,141767,2,116,train
DHG,LR,0,2,39881679,139338,2,117,train
DHG,LR,0,2,39740319,239737,2,118,train
DHG,LR,0,2,39747487,257378,2,119,train
DHG,LR,0,2,39747889,215466,2,120,train
DHG,LR,0,2,39835651,164765,2,121,train
DHG,LR,0,2,39804129,171370,2,122,train
DHG,LR,0,2,39803979,215518,2,123,train
DHG,LR,0,2,39852529,192454,2,115,train
DHG,LR,0,2,39745587,230793,2,82,train
DHG,LR,0,2,39991687,129510,2,104,train
DHG,LR,0,2,39909815,133462,2,102,train
DHG,LR,0,2,39767381,240010,2,84,train
DHG,LR,0,2,39735379,247262,2,85,train
DHG,LR,0,2,39763611,240255,2,86,train
DHG,LR,0,2,39722951,231118,2,87,train
DHG,LR,0,2,39709223,215401,2,88,train
DHG,LR,0,2,39906399,205170,2,89,train
DHG,LR,0,2,39691603,187802,2,90,train
DHG,LR,0,2,20600191,126012,2,91,train
DHG,LR,0,2,39947452,132773,2,103,train
DHG,LR,0,2,95,290,2,92,train
DHG,LR,0,2,241,797,2,94,train
DHG,LR,0,2,405,803,2,95,train
DHG,LR,0,2,95,290,2,96,train
DHG,LR,0,2,9727695,82035,2,97,train
DHG,LR,0,2,40129160,153378,2,98,train
DHG,LR,0,2,39011927,177610,2,99,train
DHG,LR,0,2,39732577,228817,2,100,train
DHG,LR,0,2,39895708,202243,2,101,train
DHG,LR,0,2,68149,29626,2,93,train
DHG,LR,0,2,43565511,142510,2,39,train
DHG,LR,0,2,95,289,0,92,train
DHG,LR,0,2,39803651,225309,0,90,train
DHG,LR,0,1,39790784,224201,0,133,test
DHG,LR,0,1,39680230,227321,0,132,test
DHG,LR,0,1,39792687,174735,0,131,test
DHG,LR,0,1,12268691,124277,0,130,test
DHG,LR,0,1,353,802,0,129,test
DHG,LR,0,1,397,15923,0,128,test
DHG,LR,0,1,35161726,195513,0,127,test
DHG,LR,0,1,39697305,247081,0,126,test
DHG,LR,0,1,39713819,244467,0,134,test
DHG,LR,0,1,39816639,231779,0,125,test
