dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,RFR-maxBins-16,0,0,22385.815,train,RFR,maxBins,16
DHG,RFR-maxBins-16,0,1,22579.5,train,RFR,maxBins,16
DHG,RFR-maxBins-16,0,2,22401.71,train,RFR,maxBins,16
DHG,RFR-maxBins-16,0,0,3296.665,test,RFR,maxBins,16
DHG,RFR-maxBins-16,0,1,3399.7000000000007,test,RFR,maxBins,16
DHG,RFR-maxBins-16,0,2,3276.41,test,RFR,maxBins,16
DHG,RFR-maxBins-32,0,0,23507.91,train,RFR,maxBins,32
DHG,RFR-maxBins-32,0,1,22957.615,train,RFR,maxBins,32
DHG,RFR-maxBins-32,0,2,22879.74,train,RFR,maxBins,32
DHG,RFR-maxBins-32,0,0,3643.7500000000014,test,RFR,maxBins,32
DHG,RFR-maxBins-32,0,1,3350.84,test,RFR,maxBins,32
DHG,RFR-maxBins-32,0,2,3023.8750000000005,test,RFR,maxBins,32
DHG,RFR-maxBins-4,0,0,22771.095,train,RFR,maxBins,4
DHG,RFR-maxBins-4,0,1,22048.03,train,RFR,maxBins,4
DHG,RFR-maxBins-4,0,2,22622.84,train,RFR,maxBins,4
DHG,RFR-maxBins-4,0,0,3762.765,test,RFR,maxBins,4
DHG,RFR-maxBins-4,0,1,3821.405000000001,test,RFR,maxBins,4
DHG,RFR-maxBins-4,0,2,3630.245,test,RFR,maxBins,4
DHG,RFR-maxBins-48,0,0,21416.45,train,RFR,maxBins,48
DHG,RFR-maxBins-48,0,1,22009.205,train,RFR,maxBins,48
DHG,RFR-maxBins-48,0,2,22655.72,train,RFR,maxBins,48
DHG,RFR-maxBins-48,0,0,3421.2199999999993,test,RFR,maxBins,48
DHG,RFR-maxBins-48,0,1,2210.205,test,RFR,maxBins,48
DHG,RFR-maxBins-48,0,2,3376.9700000000007,test,RFR,maxBins,48
DHG,RFR-maxDepth-10,0,0,20401.695,train,RFR,maxDepth,10
DHG,RFR-maxDepth-10,0,1,22535.395,train,RFR,maxDepth,10
DHG,RFR-maxDepth-10,0,2,21249.26,train,RFR,maxDepth,10
DHG,RFR-maxDepth-10,0,0,3442.0200000000004,test,RFR,maxDepth,10
DHG,RFR-maxDepth-10,0,1,3350.66,test,RFR,maxDepth,10
DHG,RFR-maxDepth-10,0,2,2345.505,test,RFR,maxDepth,10
DHG,RFR-maxDepth-15,0,0,60289.385,train,RFR,maxDepth,15
DHG,RFR-maxDepth-15,0,1,66073.84,train,RFR,maxDepth,15
DHG,RFR-maxDepth-15,0,2,58673.90999999999,train,RFR,maxDepth,15
DHG,RFR-maxDepth-15,0,0,3336.530000000001,test,RFR,maxDepth,15
DHG,RFR-maxDepth-15,0,1,3703.925000000001,test,RFR,maxDepth,15
DHG,RFR-maxDepth-15,0,2,3810.45,test,RFR,maxDepth,15
DHG,RFR-maxDepth-20,0,0,471246.73,train,RFR,maxDepth,20
DHG,RFR-maxDepth-20,0,2,617379.7250000001,train,RFR,maxDepth,20
DHG,RFR-maxDepth-20,0,0,2280.525,test,RFR,maxDepth,20
DHG,RFR-maxDepth-20,0,1,2749.590000000001,test,RFR,maxDepth,20
DHG,RFR-maxDepth-20,0,2,3494.4700000000007,test,RFR,maxDepth,20
DHG,RFR-maxDepth-5,0,0,14336.79,train,RFR,maxDepth,5
DHG,RFR-maxDepth-5,0,1,14096.58,train,RFR,maxDepth,5
DHG,RFR-maxDepth-5,0,2,13933.02,train,RFR,maxDepth,5
DHG,RFR-maxDepth-5,0,0,3452.995000000001,test,RFR,maxDepth,5
DHG,RFR-maxDepth-5,0,1,3433.02,test,RFR,maxDepth,5
DHG,RFR-maxDepth-5,0,2,3334.575,test,RFR,maxDepth,5
DHG,RFR-numTrees-10,0,0,21077.24,train,RFR,numTrees,10
DHG,RFR-numTrees-10,0,1,15743.995,train,RFR,numTrees,10
DHG,RFR-numTrees-10,0,2,19918.67,train,RFR,numTrees,10
DHG,RFR-numTrees-10,0,0,3134.92,test,RFR,numTrees,10
DHG,RFR-numTrees-10,0,1,3408.285,test,RFR,numTrees,10
DHG,RFR-numTrees-10,0,2,5149.45,test,RFR,numTrees,10
DHG,RFR-numTrees-100,0,0,80512.87,train,RFR,numTrees,100
DHG,RFR-numTrees-100,0,1,86479.08,train,RFR,numTrees,100
DHG,RFR-numTrees-100,0,2,74985.06,train,RFR,numTrees,100
DHG,RFR-numTrees-100,0,0,3649.53,test,RFR,numTrees,100
DHG,RFR-numTrees-100,0,1,4052.6,test,RFR,numTrees,100
DHG,RFR-numTrees-100,0,2,4174.06,test,RFR,numTrees,100
DHG,RFR-numTrees-150,0,0,106365.79,train,RFR,numTrees,150
DHG,RFR-numTrees-150,0,1,108263.53,train,RFR,numTrees,150
DHG,RFR-numTrees-150,0,2,27816.72,train,RFR,numTrees,150
DHG,RFR-numTrees-150,0,0,3618.2300000000014,test,RFR,numTrees,150
DHG,RFR-numTrees-150,0,1,3571.04,test,RFR,numTrees,150
DHG,RFR-numTrees-150,0,2,949.515,test,RFR,numTrees,150
DHG,RFR-numTrees-50,0,0,10932.275,train,RFR,numTrees,50
DHG,RFR-numTrees-50,0,1,6096.535,train,RFR,numTrees,50
DHG,RFR-numTrees-50,0,2,10724.95,train,RFR,numTrees,50
DHG,RFR-numTrees-50,0,0,422.31,test,RFR,numTrees,50
DHG,RFR-numTrees-50,0,1,924.135,test,RFR,numTrees,50
DHG,RFR-numTrees-50,0,2,924.405,test,RFR,numTrees,50
