dataset,algorithm,platformId,runId,Energy,phase
DHG,RFR,0,2,3533.6249999999995,test
DHG,RFR,0,1,3146.5399999999995,test
DHG,RFR,0,0,2959.794999999999,test
DHG,RFR,0,2,23588.47,train
DHG,RFR,0,1,23222.2,train
DHG,RFR,0,0,23298.825000000004,train
DHG,RFR,1,2,49414.115000000005,train
DHG,RFR,1,1,7701.18,test
DHG,RFR,1,2,8194.915,test
DHG,RFR,1,0,7316.120000000001,test
DHG,RFR,1,1,45455.295,train
DHG,RFR,1,0,45033.71000000001,train
DHG,RFR,2,0,14780.354999999998,train
DHG,RFR,2,2,14945.724999999999,train
DHG,RFR,2,1,15586.13,train
DHG,RFR,2,0,2048.48,test
DHG,RFR,2,1,2043.615,test
DHG,RFR,2,2,2075.33,test
DHG,RFR,3,1,2108.36,test
DHG,RFR,3,0,14084.135,train
DHG,RFR,3,2,14825.02,train
DHG,RFR,3,1,13985.185000000001,train
DHG,RFR,3,2,2032.2400000000007,test
DHG,RFR,3,0,1989.4650000000001,test
DHG,RFR,4,2,1999.8049999999998,test
DHG,RFR,4,0,3330.0999999999995,test
DHG,RFR,4,1,3158.9,test
DHG,RFR,4,2,14198.700000000003,train
DHG,RFR,4,0,23903.205,train
DHG,RFR,4,1,23521.875,train
DHG,RFR,5,2,24371.744999999995,train
DHG,RFR,5,1,24422.07,train
DHG,RFR,5,0,24432.945,train
DHG,RFR,5,2,4222.475,test
DHG,RFR,5,1,4472.625,test
DHG,RFR,5,0,4257.960000000001,test
DHG,RFR,6,0,3786.5449999999996,test
DHG,RFR,6,0,22186.42,train
DHG,RFR,6,1,22613.15,train
DHG,RFR,6,2,23540.485,train
DHG,RFR,6,2,2993.3950000000004,test
DHG,RFR,6,1,3757.2349999999997,test
DHG,RFR,7,0,3730.995,test
DHG,RFR,7,1,2299.505,test
DHG,RFR,7,2,3321.170000000001,test
DHG,RFR,7,0,20326.46,train
DHG,RFR,7,1,20696.155,train
DHG,RFR,7,2,20364.739999999998,train
DHG,RFR,8,2,21919.905,train
DHG,RFR,8,0,3035.59,test
DHG,RFR,8,1,22288.085,train
DHG,RFR,8,2,3125.63,test
DHG,RFR,8,1,3006.4799999999996,test
DHG,RFR,8,0,21963.510000000002,train
DHG,RFR,9,0,4831.79,test
DHG,RFR,9,2,32036.620000000003,train
DHG,RFR,9,2,4807.000000000001,test
DHG,RFR,9,0,28734.03,train
DHG,RFR,9,1,32380.17,train
DHG,RFR,9,1,4779.555,test
DHG,RFR,10,1,4754.6900000000005,test
DHG,RFR,10,0,4909.24,test
DHG,RFR,10,1,27958.97,train
DHG,RFR,10,2,4615.030000000001,test
DHG,RFR,10,0,27422.449999999997,train
DHG,RFR,10,2,26741.32,train
DHG,RFR,11,0,22061.88,train
DHG,RFR,11,1,22165.8,train
DHG,RFR,11,2,22734.9,train
DHG,RFR,11,0,3694.925,test
DHG,RFR,11,1,4092.050000000001,test
DHG,RFR,11,2,3312.710000000001,test
DHG,RFR,12,1,2234.88,test
DHG,RFR,12,1,22004.130000000005,train
DHG,RFR,12,0,20156.789999999997,train
DHG,RFR,12,2,21713.79,train
DHG,RFR,12,0,3569.94,test
DHG,RFR,12,2,3478.3450000000003,test
DHG,RFR,13,0,3199.5249999999996,test
DHG,RFR,13,1,3920.1100000000006,test
DHG,RFR,13,2,4172.42,test
DHG,RFR,13,0,24339.67,train
DHG,RFR,13,1,23200.524999999998,train
DHG,RFR,13,2,23698.07,train
DHG,RFR,14,2,3719.955000000001,test
DHG,RFR,14,2,22290.17,train
DHG,RFR,14,1,3441.6050000000005,test
DHG,RFR,14,0,23120.620000000003,train
DHG,RFR,14,1,22756.430000000004,train
DHG,RFR,14,0,3417.055,test
DHG,RFR,15,2,20581.395,train
DHG,RFR,15,1,3462.51,test
DHG,RFR,15,2,3005.4000000000005,test
DHG,RFR,15,0,21523.030000000002,train
DHG,RFR,15,1,19462.44,train
DHG,RFR,15,0,3365.6699999999996,test
DHG,RFR,16,2,2353.85,test
DHG,RFR,16,0,2314.15,test
DHG,RFR,16,1,16765.869999999995,train
DHG,RFR,16,1,2333.25,test
DHG,RFR,16,2,16002.39,train
DHG,RFR,16,0,16022.83,train
DHG,RFR,17,0,3110.11,test
DHG,RFR,17,2,3249.3900000000012,test
DHG,RFR,17,2,23255.245000000003,train
DHG,RFR,17,1,23791.425000000003,train
DHG,RFR,17,0,24316.4,train
DHG,RFR,17,1,3096.3999999999996,test
DHG,RFR,18,0,23483.25,train
DHG,RFR,18,1,3297.485,test
DHG,RFR,18,1,22743.765,train
DHG,RFR,18,2,24254.189999999995,train
DHG,RFR,18,2,3131.3,test
DHG,RFR,18,0,3076.04,test
DHG,RFR,19,2,3298.1550000000007,test
DHG,RFR,19,0,22502.68,train
DHG,RFR,19,1,3394.2299999999996,test
DHG,RFR,19,0,3494.355,test
DHG,RFR,19,2,24187.065000000002,train
DHG,RFR,19,1,23291.42,train
DHG,RFR,20,0,23406.195,train
DHG,RFR,20,1,24083.775,train
DHG,RFR,20,1,3470.125,test
DHG,RFR,20,2,23230.620000000003,train
DHG,RFR,20,0,3368.525,test
DHG,RFR,20,2,3186.56,test
DHG,RFR,21,2,23446.2,train
DHG,RFR,21,1,22970.45,train
DHG,RFR,21,0,23886.82,train
DHG,RFR,21,0,3441.0999999999995,test
DHG,RFR,21,2,3293.61,test
DHG,RFR,21,1,3616.005,test
DHG,RFR,22,2,22818.039999999997,train
DHG,RFR,22,2,3505.3,test
DHG,RFR,22,1,3608.4100000000008,test
