transformTime,features,fitTime,testCount,trainCount,f1,weightedPrecision,weightedRecall,accuracy,algorithm,dataset,family,platformId,runId,mse,rmse,mae,r2,silhouette
7228.0,27.0,35808.0,2199737.0,8800262.0,0.7030279953965339,0.7029818505962617,0.7030881419005999,0.7030881419006001,DT-maxBins-32-maxDepth-10,DHG,classification,9,2,,,,,
7242.0,27.0,36064.0,2199737.0,8800262.0,0.7030279953965339,0.7029818505962617,0.7030881419005999,0.7030881419006001,DT-maxBins-32-maxDepth-10,DHG,classification,9,0,,,,,
7266.0,27.0,35641.0,2199737.0,8800262.0,0.7030279953965339,0.7029818505962617,0.7030881419005999,0.7030881419006001,DT-maxBins-32-maxDepth-10,DHG,classification,9,1,,,,,
7961.0,27.0,39457.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,5,2,,,,,
8107.0,27.0,39556.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,5,0,,,,,
8399.0,27.0,40016.0,2198012.0,8801987.0,0.7031047050132049,0.7031031592859311,0.7031062614762795,0.7031062614762795,DT-maxBins-32-maxDepth-10,DHG,classification,5,1,,,,,
7606.0,27.0,35465.0,2197869.0,8802130.0,0.7032319182878649,0.7031662665497866,0.7033471967619545,0.7033471967619545,DT-maxBins-32-maxDepth-10,DHG,classification,8,2,,,,,
7573.0,27.0,35916.0,2197869.0,8802130.0,0.7032319182878649,0.7031662665497866,0.7033471967619545,0.7033471967619545,DT-maxBins-32-maxDepth-10,DHG,classification,8,0,,,,,
7515.0,27.0,35647.0,2197869.0,8802130.0,0.7032319182878649,0.7031662665497866,0.7033471967619545,0.7033471967619545,DT-maxBins-32-maxDepth-10,DHG,classification,8,1,,,,,
9552.0,27.0,45946.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,2,2,,,,,
9145.0,27.0,45895.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,2,0,,,,,
9464.0,27.0,45854.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,2,1,,,,,
8120.0,27.0,40359.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,3,2,,,,,
7955.0,27.0,39657.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,3,0,,,,,
8363.0,27.0,39910.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,3,1,,,,,
7910.0,27.0,36278.0,2197869.0,8802130.0,0.7032319182878649,0.7031662665497866,0.7033471967619545,0.7033471967619545,DT-maxBins-32-maxDepth-10,DHG,classification,6,2,,,,,
7746.0,27.0,36513.0,2197869.0,8802130.0,0.7032319182878649,0.7031662665497866,0.7033471967619545,0.7033471967619545,DT-maxBins-32-maxDepth-10,DHG,classification,6,0,,,,,
7271.0,27.0,35910.0,2197869.0,8802130.0,0.7032319182878649,0.7031662665497866,0.7033471967619545,0.7033471967619545,DT-maxBins-32-maxDepth-10,DHG,classification,6,1,,,,,
9681.0,27.0,47233.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,4,2,,,,,
9755.0,27.0,48163.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,4,0,,,,,
9682.0,27.0,47913.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,4,1,,,,,
12945.0,27.0,62453.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,1,2,,,,,
13167.0,27.0,62714.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,1,0,,,,,
13102.0,27.0,63009.0,2197354.0,8802645.0,0.7028829701789745,0.7028191535182561,0.7029877752970164,0.7029877752970163,DT-maxBins-32-maxDepth-10,DHG,classification,1,1,,,,,
7479.0,27.0,38868.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,7,2,,,,,
7639.0,27.0,39279.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,7,0,,,,,
7947.0,27.0,38383.0,2198012.0,8801987.0,0.7031042419356706,0.7031026881995485,0.7031058065197096,0.7031058065197097,DT-maxBins-32-maxDepth-10,DHG,classification,7,1,,,,,
7299.0,27.0,38155.0,2198803.0,8801196.0,0.7028697537181876,0.7028041675201693,0.7029797576226702,0.7029797576226702,DT-maxBins-32-maxDepth-10,DHG,classification,101,2,,,,,
7389.0,27.0,37614.0,2198803.0,8801196.0,0.7028706636408667,0.7028050778379339,0.7029806672084766,0.7029806672084766,DT-maxBins-32-maxDepth-10,DHG,classification,101,0,,,,,
7411.0,27.0,38671.0,2198803.0,8801196.0,0.7028701990043411,0.7028046105244494,0.7029802124155734,0.7029802124155734,DT-maxBins-32-maxDepth-10,DHG,classification,101,1,,,,,
7382.0,27.0,35624.0,2199737.0,8800262.0,0.7018512532382755,0.7019025020127849,0.7018084434639232,0.7018084434639232,DT-maxBins-16-maxDepth-10,DHG,classification,9,2,,,,,
7375.0,27.0,35483.0,2199737.0,8800262.0,0.7018512532382755,0.7019025020127849,0.7018084434639232,0.7018084434639232,DT-maxBins-16-maxDepth-10,DHG,classification,9,0,,,,,
7307.0,27.0,35658.0,2199737.0,8800262.0,0.7018512532382755,0.7019025020127849,0.7018084434639232,0.7018084434639232,DT-maxBins-16-maxDepth-10,DHG,classification,9,1,,,,,
8184.0,27.0,39048.0,2198012.0,8801987.0,0.7022944697195277,0.7022279031231602,0.7025084485435021,0.7025084485435021,DT-maxBins-16-maxDepth-10,DHG,classification,5,2,,,,,
