dataset,algorithm,platformId,runId,Energy,phase
DHG,DT-maxBins-16-maxDepth-10,1,0,58791.24999999999,train
DHG,DT-maxBins-16-maxDepth-10,1,1,59854.7,train
DHG,DT-maxBins-16-maxDepth-10,1,2,59805.7,train
DHG,DT-maxBins-16-maxDepth-10,2,0,55204.95,train
DHG,DT-maxBins-16-maxDepth-10,2,1,55617.10000000001,train
DHG,DT-maxBins-16-maxDepth-10,2,2,55978.04999999998,train
DHG,DT-maxBins-16-maxDepth-10,3,0,55566.650000000016,train
DHG,DT-maxBins-16-maxDepth-10,3,1,55828.6,train
DHG,DT-maxBins-16-maxDepth-10,3,2,54497.24999999999,train
DHG,DT-maxBins-16-maxDepth-10,4,0,47019.85,train
DHG,DT-maxBins-16-maxDepth-10,4,1,46793.45,train
DHG,DT-maxBins-16-maxDepth-10,4,2,46700.85,train
DHG,DT-maxBins-16-maxDepth-10,5,0,52095.65,train
DHG,DT-maxBins-16-maxDepth-10,5,1,50639.25,train
DHG,DT-maxBins-16-maxDepth-10,5,2,51098.3,train
DHG,DT-maxBins-16-maxDepth-10,6,0,54138.95,train
DHG,DT-maxBins-16-maxDepth-10,6,1,53555.35000000001,train
DHG,DT-maxBins-16-maxDepth-10,6,2,54727.55,train
DHG,DT-maxBins-16-maxDepth-10,7,0,40601.35,train
DHG,DT-maxBins-16-maxDepth-10,7,1,41980.6,train
DHG,DT-maxBins-16-maxDepth-10,7,2,41525.5,train
DHG,DT-maxBins-16-maxDepth-10,8,0,49495.14999999999,train
DHG,DT-maxBins-16-maxDepth-10,8,1,51603.3,train
DHG,DT-maxBins-16-maxDepth-10,8,2,49163.400000000016,train
DHG,DT-maxBins-16-maxDepth-10,9,0,55614.05,train
DHG,DT-maxBins-16-maxDepth-10,9,1,55166.85,train
DHG,DT-maxBins-16-maxDepth-10,9,2,54534.85,train
DHG,DT-maxBins-16-maxDepth-10,1,0,12283.2,test
DHG,DT-maxBins-16-maxDepth-10,1,1,11484.800000000005,test
DHG,DT-maxBins-16-maxDepth-10,1,2,12242.849999999995,test
DHG,DT-maxBins-16-maxDepth-10,2,0,10728.399999999996,test
DHG,DT-maxBins-16-maxDepth-10,2,1,10873.15,test
DHG,DT-maxBins-16-maxDepth-10,2,2,11058.65,test
DHG,DT-maxBins-16-maxDepth-10,3,0,10570.950000000004,test
DHG,DT-maxBins-16-maxDepth-10,3,1,10945.35,test
DHG,DT-maxBins-16-maxDepth-10,3,2,10747.6,test
DHG,DT-maxBins-16-maxDepth-10,4,0,10066.799999999996,test
DHG,DT-maxBins-16-maxDepth-10,4,1,9768.7,test
DHG,DT-maxBins-16-maxDepth-10,4,2,9802.35,test
DHG,DT-maxBins-16-maxDepth-10,5,0,10395.9,test
DHG,DT-maxBins-16-maxDepth-10,5,1,10388.15,test
DHG,DT-maxBins-16-maxDepth-10,5,2,10374.05,test
DHG,DT-maxBins-16-maxDepth-10,6,0,9792.95,test
DHG,DT-maxBins-16-maxDepth-10,6,1,11358.450000000004,test
DHG,DT-maxBins-16-maxDepth-10,6,2,11116.9,test
DHG,DT-maxBins-16-maxDepth-10,7,0,8450.4,test
DHG,DT-maxBins-16-maxDepth-10,7,1,8403.449999999999,test
DHG,DT-maxBins-16-maxDepth-10,7,2,8197.5,test
DHG,DT-maxBins-16-maxDepth-10,8,0,9431.4,test
DHG,DT-maxBins-16-maxDepth-10,8,1,9230.75,test
DHG,DT-maxBins-16-maxDepth-10,8,2,9684.05,test
DHG,DT-maxBins-16-maxDepth-10,9,0,11588.2,test
DHG,DT-maxBins-16-maxDepth-10,9,1,9982.000000000002,test
DHG,DT-maxBins-16-maxDepth-10,9,2,9986.05,test
DHG,DT-maxBins-16-maxDepth-15,1,0,67518.95000000001,train
DHG,DT-maxBins-16-maxDepth-15,1,1,67585.15,train
DHG,DT-maxBins-16-maxDepth-15,1,2,67663.65,train
