transformTime,features,fitTime,testCount,trainCount,weightedPrecision,accuracy,weightedRecall,f1,algorithm,dataset,family,platformId,runId,mse,rmse,r2,mae,silhouette
6950.0,27.0,31206.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,0,2,,,,,0.367086837468618
6900.0,27.0,31475.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,0,1,,,,,0.36708683746861803
6912.0,27.0,31183.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,0,0,,,,,0.3670868374686179
7151.0,27.0,45005.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,1,2,,,,,0.3670868374686168
7170.0,27.0,44673.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,1,1,,,,,0.3670868374686166
7148.0,27.0,45277.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,1,0,,,,,0.3670868374686166
7032.0,27.0,33570.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,2,0,,,,,0.3970344412709337
7011.0,27.0,33603.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,2,2,,,,,0.3970344412709336
6988.0,27.0,33071.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,2,1,,,,,0.3970344412709337
6979.0,27.0,27830.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,3,0,,,,,0.3670868374686178
6994.0,27.0,27931.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,3,2,,,,,0.36708683746861787
7050.0,27.0,27881.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,3,1,,,,,0.36708683746861803
6036.0,27.0,50855.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,4,1,,,,,0.3670868374686173
5791.0,27.0,51844.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,4,0,,,,,0.3670868374686173
6013.0,27.0,61413.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,4,2,,,,,0.3670868374686171
6858.0,27.0,44058.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,5,2,,,,,0.3670868374686168
6859.0,27.0,44143.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,5,1,,,,,0.3670868374686169
6916.0,27.0,43284.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,5,0,,,,,0.36708683746861664
6907.0,27.0,34372.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,6,1,,,,,0.36708683746861787
6911.0,27.0,33955.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,6,0,,,,,0.3670868374686178
6939.0,27.0,35379.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,6,2,,,,,0.3670868374686177
6923.0,27.0,30904.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,7,1,,,,,0.36708683746861775
6890.0,27.0,31226.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,7,0,,,,,0.3670868374686177
6879.0,27.0,30912.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,7,2,,,,,0.3670868374686178
6910.0,27.0,29149.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,8,2,,,,,0.3670868374686177
7065.0,27.0,30011.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,8,0,,,,,0.3670868374686176
6907.0,27.0,30303.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,8,1,,,,,0.36708683746861787
6912.0,27.0,31019.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,9,1,,,,,0.3970344412709339
6889.0,27.0,30952.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,9,2,,,,,0.39703444127093385
6926.0,27.0,31187.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,9,0,,,,,0.39703444127093424
6938.0,27.0,28871.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,10,1,,,,,0.397034441270934
6917.0,27.0,29161.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,10,0,,,,,0.3970344412709341
6964.0,27.0,29487.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,10,2,,,,,0.3970344412709339
6986.0,27.0,27616.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,11,1,,,,,0.3670868374686182
6962.0,27.0,27900.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,11,0,,,,,0.3670868374686181
6975.0,27.0,27604.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,11,2,,,,,0.3670868374686183
6916.0,27.0,29733.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,12,2,,,,,0.36708683746861803
6921.0,27.0,30992.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,12,0,,,,,0.36708683746861787
6913.0,27.0,30876.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,12,1,,,,,0.3670868374686182
6939.0,27.0,29383.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,13,2,,,,,0.36708683746861775
6919.0,27.0,30905.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,13,0,,,,,0.36708683746861803
6948.0,27.0,30870.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,13,1,,,,,0.36708683746861803
6875.0,27.0,31189.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,14,0,,,,,0.36708683746861803
6884.0,27.0,30606.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,14,1,,,,,0.36708683746861803
6900.0,27.0,31056.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,14,2,,,,,0.3670868374686184
6945.0,27.0,31068.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,15,1,,,,,0.36708683746861803
7030.0,27.0,32076.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,15,0,,,,,0.36708683746861803
6892.0,27.0,31282.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,15,2,,,,,0.3670868374686177
6931.0,27.0,31668.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,16,0,,,,,0.36708683746861803
6910.0,27.0,30853.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,16,2,,,,,0.367086837468618
6897.0,27.0,31266.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,16,1,,,,,0.3670868374686175
6939.0,27.0,31426.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,17,0,,,,,0.36708683746861787
6893.0,27.0,31596.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,17,1,,,,,0.36708683746861803
6898.0,27.0,30627.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,17,2,,,,,0.36708683746861803
6901.0,27.0,31141.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,18,1,,,,,0.36708683746861787
6921.0,27.0,31099.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,18,2,,,,,0.3670868374686181
6904.0,27.0,31717.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,18,0,,,,,0.36708683746861787
6936.0,27.0,31158.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,19,2,,,,,0.3670868374686175
6960.0,27.0,31909.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,19,0,,,,,0.3670868374686175
6884.0,27.0,31725.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,19,1,,,,,0.3670868374686177
6886.0,27.0,30665.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,20,2,,,,,0.36708683746861787
6898.0,27.0,31235.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,20,1,,,,,0.3670868374686178
6892.0,27.0,32114.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,20,0,,,,,0.3670868374686181
6938.0,27.0,30732.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,21,0,,,,,0.3670868374686178
6928.0,27.0,30526.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,21,2,,,,,0.36708683746861803
6969.0,27.0,31324.0,10999999.0,10999999.0,,,,,GMM,DHG,clustering,21,1,,,,,0.36708683746861803
