transformTime,features,fitTime,testCount,trainCount,f1,weightedPrecision,weightedRecall,accuracy,algorithm,dataset,family,platformId,runId,mse,rmse,mae,r2,silhouette
6936.0,27.0,20305.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,9,2,,,,,0.3473499107036088
7068.0,27.0,20268.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,9,0,,,,,0.3473499107036089
6961.0,27.0,20096.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,9,1,,,,,0.347349910703609
6887.0,27.0,20925.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,5,2,,,,,0.3472494107266772
6913.0,27.0,20800.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,5,0,,,,,0.3472494107266772
6918.0,27.0,20994.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,5,1,,,,,0.34724941072667725
6913.0,27.0,19433.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,8,2,,,,,0.35114854128552125
6941.0,27.0,19711.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,8,0,,,,,0.3511485412855215
6938.0,27.0,19385.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,8,1,,,,,0.35114854128552125
5978.0,27.0,23434.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,2,2,,,,,0.33910384957727785
6125.0,27.0,23157.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,2,0,,,,,0.33910384957727807
6125.0,27.0,23624.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,2,1,,,,,0.3391038495772778
6922.0,27.0,20899.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,3,2,,,,,0.3472494107266773
6944.0,27.0,21074.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,3,0,,,,,0.3472494107266771
6867.0,27.0,20835.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,3,1,,,,,0.3472494107266771
6958.0,27.0,19728.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,6,2,,,,,0.35114854128552137
6912.0,27.0,19589.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,6,0,,,,,0.35114854128552125
6917.0,27.0,19869.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,6,1,,,,,0.3511485412855214
7161.0,27.0,23383.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,4,2,,,,,0.3391038495772778
7214.0,27.0,24110.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,4,0,,,,,0.3391038495772778
7169.0,27.0,23861.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,4,1,,,,,0.3391038495772777
7255.0,27.0,31434.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,1,2,,,,,0.3391038495772778
7175.0,27.0,31435.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,1,0,,,,,0.3391038495772778
7219.0,27.0,31289.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,1,1,,,,,0.3391038495772778
7150.0,27.0,21704.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,7,2,,,,,0.34724941072667703
7152.0,27.0,20925.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,7,0,,,,,0.34724941072667725
7171.0,27.0,21254.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,7,1,,,,,0.34724941072667725
7043.0,27.0,22577.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,101,2,,,,,0.3467702460947953
7049.0,27.0,22609.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,101,0,,,,,0.3467702460947961
7030.0,27.0,22479.0,10999999.0,10999999.0,,,,,KM-tol-0.1-maxIter-10,DHG,clustering,101,1,,,,,0.3467702460947968
6982.0,27.0,20381.0,10999999.0,10999999.0,,,,,KM-tol-1e-06-maxIter-10,DHG,clustering,9,2,,,,,0.3473499107036087
6961.0,27.0,20545.0,10999999.0,10999999.0,,,,,KM-tol-1e-06-maxIter-10,DHG,clustering,9,0,,,,,0.3473499107036091
6992.0,27.0,20552.0,10999999.0,10999999.0,,,,,KM-tol-1e-06-maxIter-10,DHG,clustering,9,1,,,,,0.34734991070360915
6970.0,27.0,20241.0,10999999.0,10999999.0,,,,,KM-tol-1e-06-maxIter-10,DHG,clustering,5,2,,,,,0.3472494107266771
