dataset,algorithm,platformId,runId,Energy,phase
DHG,KM-tol-0.0001-maxIter-10,1,0,11154.05,train
DHG,KM-tol-0.0001-maxIter-10,1,1,10950.999999999998,train
DHG,KM-tol-0.0001-maxIter-10,1,2,11098.15,train
DHG,KM-tol-0.0001-maxIter-10,2,0,10434.600000000002,train
DHG,KM-tol-0.0001-maxIter-10,2,1,10351.05,train
DHG,KM-tol-0.0001-maxIter-10,2,2,10455.499999999998,train
DHG,KM-tol-0.0001-maxIter-10,3,0,10428.1,train
DHG,KM-tol-0.0001-maxIter-10,3,1,9776.35,train
DHG,KM-tol-0.0001-maxIter-10,3,2,10476.6,train
DHG,KM-tol-0.0001-maxIter-10,4,0,8903.15,train
DHG,KM-tol-0.0001-maxIter-10,4,1,9098.350000000002,train
DHG,KM-tol-0.0001-maxIter-10,4,2,8760.800000000001,train
DHG,KM-tol-0.0001-maxIter-10,5,0,9662.55,train
DHG,KM-tol-0.0001-maxIter-10,5,1,10158.799999999996,train
DHG,KM-tol-0.0001-maxIter-10,5,2,10294.3,train
DHG,KM-tol-0.0001-maxIter-10,6,0,10301.9,train
DHG,KM-tol-0.0001-maxIter-10,6,1,10731.45,train
DHG,KM-tol-0.0001-maxIter-10,6,2,10156.7,train
DHG,KM-tol-0.0001-maxIter-10,7,0,8744.599999999999,train
DHG,KM-tol-0.0001-maxIter-10,7,1,8320.300000000001,train
DHG,KM-tol-0.0001-maxIter-10,7,2,8457.349999999999,train
DHG,KM-tol-0.0001-maxIter-10,8,0,10071.35,train
DHG,KM-tol-0.0001-maxIter-10,8,1,9783.25,train
DHG,KM-tol-0.0001-maxIter-10,8,2,9905.7,train
DHG,KM-tol-0.0001-maxIter-10,9,0,11156.65,train
DHG,KM-tol-0.0001-maxIter-10,9,1,10932.1,train
DHG,KM-tol-0.0001-maxIter-10,9,2,11124.15,train
DHG,KM-tol-0.0001-maxIter-10,1,0,1979.6,test
DHG,KM-tol-0.0001-maxIter-10,1,1,2024.15,test
DHG,KM-tol-0.0001-maxIter-10,1,2,2027.8,test
DHG,KM-tol-0.0001-maxIter-10,2,0,1871.95,test
DHG,KM-tol-0.0001-maxIter-10,2,1,1637.2,test
DHG,KM-tol-0.0001-maxIter-10,2,2,2003.6,test
