transformTime,features,fitTime,testCount,trainCount,weightedPrecision,accuracy,weightedRecall,f1,algorithm,dataset,family,platformId,runId,mse,rmse,r2,mae,silhouette
6906.0,27.0,21378.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,0,2,,,,,0.3673727677502761
6909.0,27.0,21516.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,0,1,,,,,0.36737276775027616
6884.0,27.0,21682.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,0,0,,,,,0.36737276775027583
7134.0,27.0,23338.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,1,2,,,,,0.3672130043508472
7161.0,27.0,22703.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,1,1,,,,,0.36721300435084747
7156.0,27.0,22351.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,1,0,,,,,0.36721300435084747
7011.0,27.0,22208.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,2,0,,,,,0.3666633677338829
7013.0,27.0,22385.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,2,2,,,,,0.3666633677338833
6979.0,27.0,22337.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,2,1,,,,,0.3666633677338829
6917.0,27.0,22881.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,3,0,,,,,0.3672143970398517
6954.0,27.0,22817.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,3,2,,,,,0.3672143970398519
7096.0,27.0,23151.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,3,1,,,,,0.3672143970398515
6002.0,27.0,25782.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,4,1,,,,,0.3668611980251564
5764.0,27.0,25534.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,4,0,,,,,0.3668611980251565
5981.0,27.0,25431.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,4,2,,,,,0.3668611980251565
6899.0,27.0,22048.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,5,2,,,,,0.36721300435084747
6905.0,27.0,22336.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,5,1,,,,,0.3672130043508471
6901.0,27.0,22912.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,5,0,,,,,0.36721300435084736
6876.0,27.0,21851.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,6,1,,,,,0.3677126043278696
6917.0,27.0,21558.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,6,0,,,,,0.3677126043278697
6917.0,27.0,21834.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,6,2,,,,,0.3677126043278697
6950.0,27.0,21464.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,7,1,,,,,0.36737276775027583
6904.0,27.0,21382.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,7,0,,,,,0.36737276775027583
6871.0,27.0,21901.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,7,2,,,,,0.3673727677502761
6980.0,27.0,21677.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,8,2,,,,,0.3671029259185558
6905.0,27.0,21642.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,8,0,,,,,0.367102925918556
6904.0,27.0,21681.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,8,1,,,,,0.3671029259185559
6974.0,27.0,21983.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,9,1,,,,,0.3687105161539331
6927.0,27.0,21983.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,9,2,,,,,0.3687105161539333
6897.0,27.0,21912.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,9,0,,,,,0.3687105161539331
7012.0,27.0,22019.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,10,1,,,,,0.3641920123004636
6944.0,27.0,22363.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,10,0,,,,,0.3641920123004632
6920.0,27.0,22349.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,10,2,,,,,0.3641920123004631
6925.0,27.0,22490.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,11,1,,,,,0.3672143970398521
6951.0,27.0,22699.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,11,0,,,,,0.3672143970398519
6920.0,27.0,22299.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,11,2,,,,,0.3672143970398519
6884.0,27.0,21245.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,12,2,,,,,0.3673727677502761
7007.0,27.0,21466.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,12,0,,,,,0.36737276775027583
6884.0,27.0,21411.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,12,1,,,,,0.36737276775027616
6957.0,27.0,21785.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,13,2,,,,,0.36737276775027605
6897.0,27.0,21501.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,13,0,,,,,0.36737276775027616
6894.0,27.0,21340.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,13,1,,,,,0.3673727677502758
6910.0,27.0,21481.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,14,0,,,,,0.3673727677502761
6868.0,27.0,21507.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,14,1,,,,,0.36737276775027616
6914.0,27.0,21366.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,14,2,,,,,0.3673727677502761
6881.0,27.0,21598.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,15,1,,,,,0.3673727677502763
6871.0,27.0,21266.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,15,0,,,,,0.3673727677502761
6929.0,27.0,21578.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,15,2,,,,,0.3673727677502757
6879.0,27.0,21531.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,16,0,,,,,0.36737276775027605
6856.0,27.0,21562.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,16,2,,,,,0.3673727677502756
6897.0,27.0,21659.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,16,1,,,,,0.36737276775027616
6939.0,27.0,21672.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,17,0,,,,,0.3673727677502761
6914.0,27.0,21693.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,17,1,,,,,0.3673727677502763
6997.0,27.0,22057.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,17,2,,,,,0.36737276775027583
6881.0,27.0,21542.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,18,1,,,,,0.36737276775027605
6855.0,27.0,21643.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,18,2,,,,,0.3673727677502761
6895.0,27.0,21345.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,18,0,,,,,0.36737276775027616
6912.0,27.0,21335.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,19,2,,,,,0.3673727677502757
6874.0,27.0,21930.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,19,0,,,,,0.3673727677502761
7043.0,27.0,21681.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,19,1,,,,,0.3673727677502762
6902.0,27.0,21651.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,20,2,,,,,0.3673727677502761
6902.0,27.0,21606.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,20,1,,,,,0.36737276775027605
6883.0,27.0,21651.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,20,0,,,,,0.3673727677502759
6905.0,27.0,21786.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,21,0,,,,,0.3673727677502761
6958.0,27.0,21559.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,21,2,,,,,0.3673727677502761
6902.0,27.0,21584.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,21,1,,,,,0.3673727677502761
6935.0,27.0,21528.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,22,0,,,,,0.3673727677502759
6898.0,27.0,21826.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,22,2,,,,,0.3673727677502761
6909.0,27.0,21451.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,22,1,,,,,0.3673727677502759
6855.0,27.0,21399.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,23,2,,,,,0.36737276775027616
6876.0,27.0,21613.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,23,0,,,,,0.3673727677502761
6892.0,27.0,21143.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,23,1,,,,,0.36737276775027583
6894.0,27.0,21440.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,24,1,,,,,0.3673727677502761
6892.0,27.0,21674.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,24,0,,,,,0.36737276775027616
6892.0,27.0,21547.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,24,2,,,,,0.3673727677502761
6905.0,27.0,21766.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,25,1,,,,,0.3673727677502761
6882.0,27.0,21271.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,25,2,,,,,0.3673727677502763
6871.0,27.0,21296.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,25,0,,,,,0.3673727677502761
6884.0,27.0,21862.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,26,0,,,,,0.36737276775027605
6906.0,27.0,21576.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,26,1,,,,,0.3673727677502759
6905.0,27.0,21497.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,26,2,,,,,0.3673727677502761
6941.0,27.0,21677.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,27,0,,,,,0.36737276775027583
6885.0,27.0,21344.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,27,2,,,,,0.36737276775027616
6871.0,27.0,21594.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,27,1,,,,,0.3673727677502761
6886.0,27.0,21605.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,28,1,,,,,0.3673727677502761
6861.0,27.0,21529.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,28,0,,,,,0.3673727677502763
6876.0,27.0,21731.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,28,2,,,,,0.3673727677502761
6869.0,27.0,21629.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,29,1,,,,,0.3673727677502759
6902.0,27.0,21638.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,29,0,,,,,0.3673727677502761
6917.0,27.0,21689.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,29,2,,,,,0.3673727677502763
6887.0,27.0,21307.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,30,1,,,,,0.3673727677502761
6892.0,27.0,21536.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,30,2,,,,,0.36737276775027605
6897.0,27.0,21523.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,30,0,,,,,0.36737276775027616
6941.0,27.0,21437.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,31,2,,,,,0.36737276775027616
6907.0,27.0,21243.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,31,0,,,,,0.3673727677502761
6947.0,27.0,21669.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,31,1,,,,,0.3673727677502761
6875.0,27.0,21593.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,32,2,,,,,0.36737276775027616
6868.0,27.0,21681.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,32,1,,,,,0.3673727677502761
6894.0,27.0,21514.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,32,0,,,,,0.3673727677502763
6915.0,27.0,21798.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,33,1,,,,,0.3673727677502761
6890.0,27.0,21542.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,33,0,,,,,0.3673727677502761
6927.0,27.0,22083.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,33,2,,,,,0.3673727677502758
7014.0,27.0,21249.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,34,2,,,,,0.3673727677502761
6883.0,27.0,21254.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,34,0,,,,,0.3673727677502762
6873.0,27.0,21252.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,34,1,,,,,0.3673727677502761
6872.0,27.0,21814.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,35,1,,,,,0.3673727677502763
6893.0,27.0,21779.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,35,2,,,,,0.36737276775027616
6884.0,27.0,21704.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,35,0,,,,,0.36737276775027583
6879.0,27.0,21278.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,36,2,,,,,0.36737276775027616
6905.0,27.0,21333.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,36,0,,,,,0.3673727677502762
6902.0,27.0,21423.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,36,1,,,,,0.3673727677502761
6893.0,27.0,21373.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,37,1,,,,,0.36737276775027605
6880.0,27.0,21247.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,37,2,,,,,0.36737276775027583
6923.0,27.0,21487.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,37,0,,,,,0.3673727677502761
6905.0,27.0,21533.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,38,1,,,,,0.36737276775027616
6893.0,27.0,21574.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,38,2,,,,,0.36737276775027605
6896.0,27.0,21158.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,38,0,,,,,0.36737276775027605
6897.0,27.0,21591.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,39,2,,,,,0.36737276775027616
6868.0,27.0,21685.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,39,0,,,,,0.3673727677502763
6877.0,27.0,21807.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,39,1,,,,,0.36737276775027605
6937.0,27.0,21431.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,40,2,,,,,0.36737276775027616
6886.0,27.0,21523.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,40,0,,,,,0.36737276775027583
6905.0,27.0,21497.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,40,1,,,,,0.36737276775027583
6944.0,27.0,21383.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,41,1,,,,,0.3673727677502761
6861.0,27.0,21580.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,41,0,,,,,0.36737276775027616
6876.0,27.0,21744.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,41,2,,,,,0.36737276775027583
6880.0,27.0,21613.0,10999999.0,10999999.0,,,,,KM,DHG,clustering,42,2,,,,,0.3673727677502761
