dataset,algorithm,platformId,runId,Energy,phase
DHG,KM,0,0,29435.55000000001,train
DHG,KM,0,1,29888.0,train
DHG,KM,0,2,29662.9,train
DHG,KM,1,0,24752.1,train
DHG,KM,1,1,24457.4,train
DHG,KM,1,2,25060.7,train
DHG,KM,2,0,31170.699999999993,train
DHG,KM,2,1,31361.5,train
DHG,KM,2,2,31683.85,train
DHG,KM,3,0,32686.65,train
DHG,KM,3,1,34233.25,train
DHG,KM,3,2,33364.10000000001,train
DHG,KM,4,0,33412.700000000004,train
DHG,KM,4,1,32000.95,train
DHG,KM,4,2,32100.75,train
DHG,KM,5,0,29937.9,train
DHG,KM,5,1,30102.000000000004,train
DHG,KM,5,2,30039.4,train
DHG,KM,6,0,29519.7,train
DHG,KM,6,1,30524.5,train
DHG,KM,6,2,29541.550000000007,train
DHG,KM,7,0,29879.35,train
DHG,KM,7,1,30042.450000000004,train
DHG,KM,7,2,31098.1,train
DHG,KM,8,0,30206.45,train
DHG,KM,8,1,29950.649999999994,train
DHG,KM,8,2,31110.700000000004,train
DHG,KM,9,0,30227.199999999993,train
DHG,KM,9,1,31748.05,train
DHG,KM,9,2,30077.95,train
DHG,KM,10,0,31449.55,train
DHG,KM,10,1,31391.949999999993,train
DHG,KM,10,2,31549.30000000001,train
DHG,KM,11,0,31159.150000000005,train
DHG,KM,11,1,30835.3,train
DHG,KM,11,2,31229.550000000007,train
DHG,KM,12,0,29901.4,train
DHG,KM,12,1,29839.2,train
DHG,KM,12,2,29948.95,train
DHG,KM,13,0,29766.8,train
DHG,KM,13,1,30069.1,train
DHG,KM,13,2,29948.45,train
DHG,KM,14,0,29978.199999999993,train
DHG,KM,14,1,29757.35,train
DHG,KM,14,2,30122.449999999993,train
DHG,KM,15,0,30166.55,train
DHG,KM,15,1,30317.200000000004,train
DHG,KM,15,2,29977.7,train
DHG,KM,16,0,31267.9,train
DHG,KM,16,1,29806.950000000004,train
DHG,KM,16,2,30158.05,train
DHG,KM,17,0,31293.900000000005,train
DHG,KM,17,1,30134.45,train
DHG,KM,17,2,31205.8,train
DHG,KM,18,0,30265.1,train
DHG,KM,18,1,30124.199999999993,train
DHG,KM,18,2,30152.349999999995,train
DHG,KM,19,0,29832.350000000013,train
DHG,KM,19,1,29925.85,train
DHG,KM,19,2,30028.35000000001,train
DHG,KM,20,0,31196.85,train
DHG,KM,20,1,30118.6,train
DHG,KM,20,2,30184.750000000004,train
DHG,KM,21,0,30724.499999999985,train
DHG,KM,21,1,29992.5,train
DHG,KM,21,2,29867.65,train
DHG,KM,22,0,29880.2,train
DHG,KM,22,1,29672.950000000004,train
DHG,KM,22,2,29552.4,train
DHG,KM,23,0,29862.05,train
DHG,KM,23,1,29969.45,train
DHG,KM,23,2,29734.099999999995,train
DHG,KM,24,0,29877.85000000001,train
DHG,KM,24,1,29934.55000000001,train
DHG,KM,24,2,29961.2,train
DHG,KM,25,0,30006.250000000004,train
DHG,KM,25,1,29932.300000000007,train
DHG,KM,25,2,28733.150000000005,train
DHG,KM,26,0,30739.300000000007,train
DHG,KM,26,1,30960.750000000004,train
DHG,KM,26,2,29946.5,train
DHG,KM,27,0,29734.55000000001,train
DHG,KM,27,1,29916.9,train
DHG,KM,27,2,29922.199999999993,train
DHG,KM,28,0,29837.10000000001,train
DHG,KM,28,1,29853.200000000004,train
DHG,KM,28,2,29894.85,train
DHG,KM,29,0,30886.7,train
DHG,KM,29,1,29749.85,train
DHG,KM,29,2,29860.60000000001,train
DHG,KM,30,0,29817.200000000015,train
DHG,KM,30,1,30062.15,train
DHG,KM,30,2,29802.15,train
DHG,KM,31,0,29723.1,train
DHG,KM,31,1,31226.4,train
DHG,KM,31,2,29996.200000000004,train
DHG,KM,32,0,31019.950000000008,train
DHG,KM,32,1,29772.85,train
DHG,KM,32,2,29882.2,train
DHG,KM,33,0,30083.7,train
DHG,KM,33,1,30210.65,train
DHG,KM,33,2,30020.8,train
DHG,KM,34,0,30217.25,train
DHG,KM,34,1,30044.5,train
DHG,KM,34,2,29828.0,train
DHG,KM,35,0,31156.65,train
DHG,KM,35,1,30082.05000000001,train
DHG,KM,35,2,29754.15,train
DHG,KM,36,0,30203.0,train
DHG,KM,36,1,28526.9,train
DHG,KM,36,2,30021.750000000004,train
DHG,KM,37,0,29410.7,train
DHG,KM,37,1,29970.0,train
DHG,KM,37,2,29784.35000000001,train
DHG,KM,38,0,30180.9,train
DHG,KM,38,1,29988.35,train
DHG,KM,38,2,29845.750000000004,train
DHG,KM,39,0,29807.250000000004,train
DHG,KM,39,1,29502.75,train
DHG,KM,39,2,29965.3,train
DHG,KM,40,0,29723.40000000001,train
DHG,KM,40,1,30012.9,train
DHG,KM,40,2,29932.7,train
DHG,KM,41,0,29705.1,train
DHG,KM,41,1,29893.750000000004,train
DHG,KM,41,2,29810.4,train
DHG,KM,42,0,29861.0,train
DHG,KM,42,1,29875.75,train
DHG,KM,42,2,29755.749999999996,train
DHG,KM,43,0,29842.3,train
DHG,KM,43,1,29966.0,train
DHG,KM,43,2,29890.9,train
DHG,KM,44,0,30030.7,train
DHG,KM,44,1,29866.6,train
DHG,KM,44,2,30959.800000000007,train
DHG,KM,45,0,31029.0,train
DHG,KM,45,1,29467.999999999985,train
DHG,KM,45,2,29699.050000000007,train
DHG,KM,0,0,7404.499999999997,test
DHG,KM,0,1,7175.05,test
DHG,KM,0,2,7273.750000000001,test
DHG,KM,1,0,5958.700000000002,test
DHG,KM,1,1,6040.0,test
DHG,KM,1,2,6101.300000000001,test
DHG,KM,2,0,6656.400000000002,test
DHG,KM,2,1,7334.15,test
DHG,KM,2,2,7512.1,test
DHG,KM,3,0,7960.6,test
DHG,KM,3,1,7264.750000000001,test
DHG,KM,3,2,7263.4,test
DHG,KM,4,0,5768.049999999997,test
DHG,KM,4,1,4734.35,test
DHG,KM,4,2,5373.1500000000015,test
DHG,KM,5,0,7269.1,test
DHG,KM,5,1,7332.450000000003,test
DHG,KM,5,2,6331.55,test
DHG,KM,6,0,7062.400000000002,test
DHG,KM,6,1,6171.4000000000015,test
DHG,KM,6,2,6375.499999999999,test
DHG,KM,7,0,7323.9000000000015,test
DHG,KM,7,1,6731.05,test
DHG,KM,7,2,7466.1500000000015,test
DHG,KM,8,0,7301.3,test
DHG,KM,8,1,6894.800000000001,test
DHG,KM,8,2,7276.300000000002,test
DHG,KM,9,0,7462.549999999998,test
DHG,KM,9,1,5871.55,test
DHG,KM,9,2,7848.2,test
DHG,KM,10,0,7195.6500000000015,test
DHG,KM,10,1,7792.9000000000015,test
DHG,KM,10,2,7477.999999999997,test
DHG,KM,11,0,7513.4,test
DHG,KM,11,1,7836.15,test
DHG,KM,11,2,6732.450000000003,test
DHG,KM,12,0,6651.300000000001,test
DHG,KM,12,1,7373.049999999998,test
DHG,KM,12,2,6853.55,test
DHG,KM,13,0,6304.149999999999,test
DHG,KM,13,1,7331.049999999998,test
DHG,KM,13,2,6637.049999999997,test
DHG,KM,14,0,6552.700000000002,test
DHG,KM,14,1,7070.500000000001,test
DHG,KM,14,2,7618.199999999999,test
DHG,KM,15,0,7613.6500000000015,test
DHG,KM,15,1,7115.350000000001,test
DHG,KM,15,2,7675.5999999999985,test
DHG,KM,16,0,7199.450000000002,test
DHG,KM,16,1,7468.7,test
DHG,KM,16,2,7024.6,test
DHG,KM,17,0,6653.799999999998,test
DHG,KM,17,1,6963.9,test
DHG,KM,17,2,7256.700000000002,test
DHG,KM,18,0,7406.15,test
DHG,KM,18,1,6400.250000000001,test
DHG,KM,18,2,6500.799999999998,test
DHG,KM,19,0,6034.499999999997,test
DHG,KM,19,1,7693.549999999998,test
DHG,KM,19,2,6709.600000000001,test
DHG,KM,20,0,7691.049999999998,test
DHG,KM,20,1,5568.500000000001,test
DHG,KM,20,2,6628.0999999999985,test
DHG,KM,21,0,6494.5999999999985,test
DHG,KM,21,1,7446.849999999998,test
DHG,KM,21,2,7328.499999999999,test
DHG,KM,22,0,7205.65,test
DHG,KM,22,1,7297.25,test
DHG,KM,22,2,6279.350000000001,test
DHG,KM,23,0,7673.650000000002,test
DHG,KM,23,1,6406.799999999998,test
DHG,KM,23,2,7544.8499999999985,test
DHG,KM,24,0,7048.250000000001,test
DHG,KM,24,1,5739.4000000000015,test
DHG,KM,24,2,7506.550000000001,test
DHG,KM,25,0,7640.500000000001,test
DHG,KM,25,1,7609.299999999997,test
DHG,KM,25,2,7299.349999999998,test
DHG,KM,26,0,6812.850000000002,test
DHG,KM,26,1,6880.45,test
DHG,KM,26,2,7374.749999999999,test
DHG,KM,27,0,7509.5999999999985,test
DHG,KM,27,1,6991.85,test
DHG,KM,27,2,6607.100000000001,test
DHG,KM,28,0,7660.449999999999,test
DHG,KM,28,1,7607.449999999999,test
DHG,KM,28,2,7731.35,test
DHG,KM,29,0,7737.5999999999985,test
DHG,KM,29,1,7260.35,test
DHG,KM,29,2,6615.8,test
DHG,KM,30,0,6780.049999999997,test
DHG,KM,30,1,6417.6500000000015,test
DHG,KM,30,2,7256.099999999998,test
DHG,KM,31,0,7192.3,test
DHG,KM,31,1,7400.9000000000015,test
DHG,KM,31,2,6164.500000000001,test
DHG,KM,32,0,7165.65,test
DHG,KM,32,1,6431.2,test
DHG,KM,32,2,6498.55,test
DHG,KM,33,0,7479.8,test
DHG,KM,33,1,7571.299999999997,test
DHG,KM,33,2,7293.600000000002,test
DHG,KM,34,0,7496.550000000001,test
DHG,KM,34,1,7411.400000000002,test
DHG,KM,34,2,7111.999999999999,test
DHG,KM,35,0,7440.85,test
DHG,KM,35,1,7305.649999999999,test
DHG,KM,35,2,5932.65,test
DHG,KM,36,0,7299.300000000001,test
DHG,KM,36,1,7543.100000000001,test
DHG,KM,36,2,7276.099999999998,test
DHG,KM,37,0,6255.100000000001,test
DHG,KM,37,1,7209.300000000001,test
DHG,KM,37,2,7260.750000000003,test
DHG,KM,38,0,6016.4,test
DHG,KM,38,1,6495.2,test
DHG,KM,38,2,7298.100000000001,test
DHG,KM,39,0,7682.8,test
DHG,KM,39,1,6576.9000000000015,test
DHG,KM,39,2,7892.049999999998,test
DHG,KM,40,0,6980.8,test
DHG,KM,40,1,7718.400000000002,test
DHG,KM,40,2,6436.5999999999985,test
DHG,KM,41,0,7461.700000000002,test
DHG,KM,41,1,7224.75,test
DHG,KM,41,2,7408.999999999999,test
